	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	403	0.49657	0.34653	0.46187	0.51149	0.46187	0.52739	-8.3638	1551	1625	35	47
1	403	0.49657	0.34653	0.46355	0.51149	0.46355	0.52739	-8.3638	1551	1625	35	47
2	403	0.49657	0.34653	0.49984	0.51149	0.49984	0.52739	-8.3638	1551	1625	35	47
3	403	0.49657	0.34653	0.53262	0.51149	0.53262	0.52739	-8.3638	1551	1625	35	47
4	403	0.49657	0.34653	0.45966	0.51149	0.45966	0.52739	-8.3638	1551	1625	35	47
5	403	0.49657	0.34653	0.48424	0.51149	0.48424	0.52739	-8.3638	1551	1625	35	47
6	403	0.49657	0.34653	0.45952	0.51149	0.45952	0.52739	-8.3638	1551	1625	35	47
7	403	0.49657	0.34653	0.53854	0.51149	0.53854	0.52739	-8.3638	1551	1625	35	47
8	403	0.49657	0.34653	0.46157	0.51149	0.46157	0.52739	-8.3638	1551	1625	35	47
9	403	0.49657	0.34653	0.49414	0.51149	0.49414	0.52739	-8.3638	1551	1625	35	47
