number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
409	0.50014	0.59681	0.49617	0.00000	0.50194	0.49773	-8.97558	1687	1489	45	39
409	0.50011	0.62475	0.49527	1.00000	0.49189	0.50680	-8.91292	1669	1507	43	41
409	0.49933	0.20958	0.51206	0.00000	0.47495	0.52160	-9.07616	1763	1413	43	41
409	0.49950	0.00200	0.55920	1.00000	0.55005	0.53366	-8.85729	1764	1412	41	43
409	0.50011	0.70259	0.49092	1.00000	0.49427	0.50689	-8.89358	1783	1393	46	38
409	0.49968	0.05988	0.52430	0.00000	0.52315	0.50882	-8.96402	1644	1532	42	42
409	0.49985	0.30739	0.50861	1.00000	0.50746	0.50082	-8.99610	1631	1545	43	41
409	0.50009	0.05389	0.52683	1.00000	0.52738	0.49364	-8.97042	1661	1515	45	39
409	0.49882	0.63473	0.49343	1.00000	0.49497	0.50337	-8.90356	1685	1491	44	40
409	0.49944	0.06786	0.52541	1.00000	0.52720	0.51490	-8.97173	1607	1569	40	44
409	0.50072	0.01796	0.53776	1.00000	0.54579	0.50982	-8.93915	1726	1450	44	40
409	0.50002	0.02794	0.53336	1.00000	0.53365	0.53722	-8.89631	1711	1465	39	45
409	0.49991	0.23952	0.51152	1.00000	0.51125	0.48611	-8.99178	1651	1525	46	38
409	0.49893	0.01796	0.53098	0.50000	0.49984	0.49776	-8.95907	1725	1451	46	38
409	0.49961	0.96208	0.47050	1.00000	0.46999	0.48100	-8.93862	1732	1444	49	35
409	0.49943	0.01397	0.53276	1.00000	0.52927	0.50696	-8.95588	1670	1506	43	41
409	0.50000	0.01397	0.53499	1.00000	0.53887	0.52935	-8.93452	1661	1515	39	45
409	0.49805	0.03393	0.52844	1.00000	0.51071	0.55542	-8.93061	1751	1425	37	47
409	0.50003	0.69261	0.49197	1.00000	0.52544	0.52563	-8.89697	1713	1463	41	43
409	0.49964	0.01397	0.53399	1.00000	0.53537	0.51829	-8.88298	1742	1434	43	41
