number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
388	0.49930	0.00200	0.57927	0.85541	0.57927	0.55329	-6.73021	2329	848	52	31
388	0.50117	0.00399	0.55947	0.83611	0.55947	0.54313	-6.64586	2341	836	54	29
388	0.50002	0.00200	0.57189	0.85628	0.57189	0.55266	-6.86697	2325	852	52	31
388	0.50021	0.00200	0.57146	0.84618	0.57146	0.54553	-7.00404	2318	859	53	30
388	0.50099	0.00200	0.57032	0.84555	0.57032	0.54659	-6.59680	2363	814	54	29
388	0.49953	0.00200	0.57256	0.86366	0.57256	0.53877	-7.33253	2275	902	53	30
388	0.50101	0.00200	0.55283	0.85962	0.55283	0.53589	-7.00960	2295	882	54	29
388	0.50079	0.00798	0.54741	0.85108	0.54741	0.53427	-6.93550	2323	854	55	28
388	0.50109	0.00200	0.57448	0.85223	0.57448	0.52840	-6.82239	2324	853	56	27
388	0.50019	0.00200	0.56860	0.84491	0.56860	0.50525	-6.73605	2330	847	60	23
388	0.49997	0.00200	0.57910	0.84555	0.57910	0.56037	-6.46206	2374	803	52	31
388	0.49956	0.00200	0.56605	0.85610	0.56605	0.54301	-7.13764	2302	875	53	30
388	0.49997	0.00798	0.54271	0.83832	0.54271	0.50521	-6.77784	2368	809	61	22
388	0.49954	0.00200	0.55533	0.84643	0.55533	0.55765	-6.52339	2395	782	53	30
388	0.50054	0.00200	0.57082	0.85095	0.57082	0.53328	-6.58347	2355	822	56	27
388	0.50092	0.00200	0.57261	0.83949	0.57261	0.54057	-6.62933	2363	814	55	28
388	0.49934	0.00200	0.56008	0.87310	0.56008	0.52892	-7.09653	2289	888	55	28
388	0.50052	0.00200	0.57778	0.83849	0.57778	0.54722	-6.85208	2367	810	54	29
388	0.50051	0.00200	0.57358	0.84193	0.57358	0.55513	-6.74369	2379	798	53	30
388	0.49849	0.00200	0.56342	0.83681	0.56342	0.54607	-6.36818	2398	779	55	28
