number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
414	0.50041	0.00200	0.56344	0.84508	0.56344	0.54942	-6.96355	2280	896	52	32
414	0.49981	0.00599	0.54581	0.86748	0.54581	0.52445	-7.51397	2197	979	54	30
414	0.49990	0.00399	0.54173	0.86399	0.54173	0.52728	-7.43140	2215	961	54	30
414	0.49990	0.00200	0.56627	0.86561	0.56627	0.54092	-7.51200	2226	950	52	32
414	0.50009	0.00200	0.56339	0.85370	0.56339	0.55033	-7.05427	2248	928	51	33
414	0.50040	0.00200	0.56263	0.86674	0.56263	0.52385	-7.08047	2231	945	55	29
414	0.49998	0.01198	0.53706	0.85204	0.53706	0.52089	-7.08902	2250	926	56	28
414	0.49982	0.00200	0.55437	0.86374	0.55437	0.54655	-7.29256	2224	952	51	33
414	0.50170	0.00200	0.56585	0.86924	0.56585	0.54265	-7.17023	2237	939	52	32
414	0.50048	0.00200	0.56198	0.87513	0.56198	0.56082	-7.39972	2239	937	49	35
414	0.49873	0.00200	0.56727	0.85901	0.56727	0.55348	-6.98687	2268	908	51	33
414	0.49948	0.00200	0.56353	0.84853	0.56353	0.55099	-6.68026	2290	886	52	32
414	0.49901	0.00399	0.55278	0.86155	0.55278	0.51900	-7.13562	2238	938	56	28
414	0.49929	0.00200	0.56933	0.84360	0.56933	0.55493	-6.67475	2315	861	52	32
414	0.50039	0.00200	0.55218	0.85051	0.55218	0.53984	-7.24992	2257	919	53	31
414	0.49947	0.00200	0.56391	0.85409	0.56391	0.54236	-6.79194	2273	903	53	31
414	0.50037	0.00200	0.55704	0.85887	0.55704	0.52495	-7.13257	2238	938	55	29
414	0.49880	0.00798	0.54036	0.86690	0.54036	0.51475	-7.27214	2211	965	56	28
414	0.49911	0.00200	0.55297	0.85156	0.55297	0.52715	-7.02137	2252	924	55	29
414	0.49933	0.00399	0.55169	0.86206	0.55169	0.54173	-6.88650	2269	907	53	31
