number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
484	0.50042	0.13972	0.51933	0.83672	0.51933	0.50211	-6.91545	2282	894	60	24
484	0.49962	0.01996	0.53457	0.84394	0.53457	0.51415	-7.28721	2245	931	57	27
484	0.49924	0.10379	0.51915	0.85746	0.51915	0.48861	-7.50939	2234	942	61	23
484	0.49936	0.00200	0.54462	0.84975	0.54462	0.51207	-7.49735	2194	982	56	28
484	0.49914	0.00998	0.53718	0.87226	0.53718	0.51273	-7.23977	2236	940	57	27
484	0.49953	0.51697	0.49795	0.84965	0.49795	0.49223	-6.95689	2257	919	61	23
484	0.49991	0.09581	0.52168	0.86254	0.52168	0.50237	-7.29440	2208	968	58	26
484	0.49954	0.08383	0.52278	0.86282	0.52278	0.51320	-7.14082	2239	937	57	27
484	0.50038	0.00399	0.54323	0.86884	0.54323	0.51496	-6.92812	2288	888	58	26
484	0.50014	0.01198	0.53955	0.85977	0.53955	0.53607	-7.34358	2233	943	53	31
484	0.49855	0.15768	0.51499	0.85584	0.51499	0.47966	-7.34287	2215	961	62	22
484	0.49993	0.00200	0.54724	0.85963	0.54724	0.55317	-6.95435	2266	910	51	33
484	0.50034	0.14172	0.51671	0.86098	0.51671	0.48454	-7.30774	2246	930	62	22
484	0.50135	0.02994	0.53099	0.88554	0.53099	0.50124	-7.83890	2163	1013	57	27
484	0.49949	0.38124	0.50551	0.85493	0.50551	0.49191	-7.13231	2255	921	61	23
484	0.50003	0.04192	0.52866	0.87726	0.52866	0.49295	-7.75732	2186	990	59	25
484	0.50067	0.29541	0.50971	0.85125	0.50971	0.48810	-7.40667	2193	983	60	24
484	0.50105	0.09182	0.52253	0.87140	0.52253	0.51270	-7.48252	2198	978	56	28
484	0.50046	0.04192	0.53103	0.86131	0.53103	0.52668	-7.06730	2249	927	55	29
484	0.49947	0.05988	0.52596	0.85982	0.52596	0.50253	-7.48281	2209	967	58	26
