number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
266	0.50097	0.36527	0.50681	0.76949	0.50681	0.50154	-2.14845	3148	28	83	1
266	0.49851	0.00200	0.56885	0.77869	0.56885	0.49512	-2.25051	3145	31	84	0
266	0.50021	0.00599	0.54565	0.77603	0.54565	0.49921	-1.62413	3171	5	84	0
266	0.49946	0.00599	0.54138	0.77850	0.54138	0.50624	-2.29362	3140	36	82	2
266	0.50023	0.00200	0.55588	0.77318	0.55588	0.49871	-2.32181	3130	46	83	1
266	0.50072	0.00200	0.55884	0.77183	0.55884	0.50060	-2.13873	3142	34	83	1
266	0.50049	0.00200	0.56798	0.78798	0.56798	0.50482	-2.52964	3131	45	82	2
266	0.50030	0.00200	0.57954	0.76609	0.57954	0.50154	-2.28182	3148	28	83	1
266	0.49990	0.00200	0.56867	0.77783	0.56867	0.51439	-2.00038	3154	22	81	3
266	0.49989	0.00200	0.57045	0.78446	0.57045	0.50951	-2.84677	3123	53	81	3
266	0.50076	0.00399	0.55066	0.78023	0.55066	0.50498	-2.33437	3132	44	82	2
266	0.50106	0.00599	0.54186	0.77656	0.54186	0.50186	-1.96604	3150	26	83	1
266	0.50044	0.00200	0.56112	0.75530	0.56112	0.49638	-2.11383	3153	23	84	0
266	0.50053	0.00200	0.56293	0.78854	0.56293	0.51184	-2.88211	3100	76	80	4
266	0.50013	0.06786	0.52387	0.77730	0.52387	0.50233	-1.96821	3153	23	83	1
266	0.50032	0.00200	0.55993	0.80489	0.55993	0.49934	-2.08613	3134	42	83	1
266	0.49963	0.22355	0.51012	0.78743	0.51012	0.49292	-2.20942	3131	45	84	0
266	0.50063	0.00200	0.57499	0.75730	0.57499	0.50639	-2.17866	3141	35	82	2
266	0.49949	0.00200	0.55308	0.79027	0.55308	0.49685	-1.78479	3156	20	84	0
266	0.49919	0.14371	0.51748	0.78398	0.51748	0.49024	-2.78307	3114	62	84	0
