number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
134	0.50030	0.00200	0.59964	0.71203	0.59964	0.51573	-4.27688	3009	168	76	7
134	0.50003	0.00399	0.54870	0.75187	0.54870	0.51971	-4.22502	2996	181	75	8
134	0.49951	0.00200	0.60599	0.74771	0.60599	0.52942	-3.57293	3096	81	76	7
134	0.50092	0.00200	0.58952	0.75984	0.58952	0.52675	-3.51223	3079	98	76	7
134	0.49943	0.00200	0.58488	0.75441	0.58488	0.53659	-3.48992	3065	112	74	9
134	0.50137	0.00200	0.61883	0.74336	0.61883	0.50442	-3.79874	3052	125	79	4
134	0.49920	0.00200	0.58886	0.73660	0.58886	0.50962	-3.32132	3085	92	79	4
134	0.50039	0.00200	0.55066	0.71154	0.55066	0.51636	-3.97046	3013	164	76	7
134	0.49915	0.00200	0.62127	0.76112	0.62127	0.52068	-3.06111	3117	60	78	5
134	0.49986	0.00200	0.54862	0.73533	0.54862	0.53475	-3.93365	3015	162	73	10
134	0.49903	0.00200	0.56334	0.72772	0.56334	0.51919	-4.18768	3031	146	76	7
134	0.49935	0.00200	0.58130	0.72045	0.58130	0.53857	-4.78605	3001	176	72	11
134	0.50131	0.00200	0.59739	0.72377	0.59739	0.54596	-3.94184	3048	129	72	11
134	0.49849	0.00200	0.59166	0.73900	0.59166	0.52994	-3.80644	3061	116	75	8
134	0.49830	0.00200	0.59320	0.72596	0.59320	0.49977	-3.15636	3099	78	81	2
134	0.49943	0.00200	0.56840	0.75832	0.56840	0.50233	-3.41382	3077	100	80	3
134	0.50093	0.00200	0.56688	0.72222	0.56688	0.52600	-4.21380	3036	141	75	8
134	0.50079	0.00200	0.56014	0.75460	0.56014	0.53942	-3.55757	3083	94	74	9
134	0.50052	0.00200	0.58195	0.72573	0.58195	0.53391	-3.85994	3048	129	74	9
134	0.50019	0.00200	0.58398	0.77423	0.58398	0.52301	-4.09496	3017	160	75	8
