number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
257	0.49994	0.25549	0.50993	0.72580	0.50993	0.49468	-4.47354	2991	185	80	4
257	0.50028	0.74651	0.48925	0.74954	0.48925	0.49245	-4.84122	2939	237	79	5
257	0.50001	0.91018	0.47692	0.72102	0.47692	0.47910	-5.27838	2892	284	80	4
257	0.50107	0.96208	0.47283	0.71292	0.47283	0.48571	-4.97252	2934	242	80	4
257	0.50020	0.76048	0.48880	0.71871	0.48880	0.51238	-4.49382	2990	186	77	7
257	0.50009	0.95010	0.47416	0.71817	0.47416	0.50032	-4.73565	2989	187	79	5
257	0.49940	0.99002	0.45968	0.73610	0.45968	0.50583	-4.48246	3024	152	79	5
257	0.50083	0.01597	0.53334	0.76813	0.53334	0.48454	-4.12931	3040	136	83	1
257	0.49997	0.94411	0.47351	0.75215	0.47351	0.47299	-5.15988	2891	285	81	3
257	0.50071	0.50699	0.50040	0.73003	0.50040	0.51217	-4.97692	2913	263	75	9
257	0.50113	0.93214	0.47639	0.69259	0.47639	0.47601	-4.81740	2948	228	82	2
257	0.49838	0.10579	0.51809	0.76225	0.51809	0.51550	-4.59228	2972	204	76	8
257	0.50032	0.60479	0.49599	0.77469	0.49599	0.50161	-4.03507	3035	141	80	4
257	0.49981	0.49701	0.50022	0.74256	0.50022	0.50533	-4.51441	2983	193	78	6
257	0.50056	0.42715	0.50336	0.77064	0.50336	0.49185	-4.76091	2973	203	80	4
257	0.49972	0.96607	0.47182	0.73360	0.47182	0.48124	-4.23088	3019	157	83	1
257	0.50005	0.13373	0.52027	0.76215	0.52027	0.49623	-4.55406	2963	213	79	5
257	0.50076	0.79441	0.48671	0.74098	0.48671	0.49648	-3.77069	3078	98	82	2
257	0.50070	0.87425	0.48310	0.73973	0.48310	0.48426	-5.22831	2887	289	79	5
257	0.50034	0.31936	0.50853	0.74795	0.50853	0.51390	-4.98881	2924	252	75	9
