number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
51	0.50039	0.00200	0.56457	0.86989	0.56457	0.55323	-6.27909	2342	834	53	31
51	0.50042	0.00200	0.58701	0.88191	0.58701	0.57955	-6.49010	2358	818	49	35
51	0.50108	0.00200	0.57563	0.88615	0.57563	0.54961	-6.48146	2319	857	53	31
51	0.50024	0.00200	0.55660	0.90219	0.55660	0.55691	-7.15097	2252	924	50	34
51	0.49913	0.00200	0.58261	0.87096	0.58261	0.57599	-5.99524	2411	765	51	33
51	0.50124	0.00399	0.56988	0.86713	0.56988	0.56988	-5.95746	2410	766	52	32
51	0.50015	0.00200	0.56721	0.88670	0.56721	0.55883	-6.68214	2302	874	51	33
51	0.50113	0.00200	0.55835	0.89708	0.55835	0.56542	-6.77863	2306	870	50	34
51	0.49914	0.00200	0.57300	0.87204	0.57300	0.53628	-6.58731	2310	866	55	29
51	0.49962	0.00200	0.58998	0.88235	0.58998	0.58941	-6.40641	2345	831	47	37
51	0.50013	0.00200	0.57252	0.88151	0.57252	0.55902	-6.43078	2341	835	52	32
51	0.50006	0.00200	0.56103	0.87685	0.56103	0.55537	-6.88547	2280	896	51	33
51	0.49833	0.00200	0.57146	0.87957	0.57146	0.54995	-6.32474	2359	817	54	30
51	0.50018	0.00200	0.57749	0.86927	0.57749	0.57389	-6.40650	2322	854	49	35
51	0.49982	0.00200	0.58402	0.88332	0.58402	0.57436	-6.61334	2325	851	49	35
51	0.49896	0.00200	0.56198	0.87164	0.56198	0.55682	-6.50728	2327	849	52	32
51	0.49934	0.00200	0.57941	0.86616	0.57941	0.57833	-6.01923	2388	788	50	34
51	0.49994	0.00200	0.57795	0.86984	0.57795	0.57656	-6.39596	2339	837	49	35
51	0.50040	0.00200	0.57783	0.88927	0.57783	0.56041	-6.64353	2312	864	51	33
51	0.49856	0.00200	0.57436	0.86848	0.57436	0.54116	-6.27134	2341	835	55	29
