number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
81	0.50071	0.00200	0.57057	0.87845	0.57057	0.53431	-6.93143	2285	892	54	29
81	0.50106	0.00200	0.59841	0.88442	0.59841	0.55668	-7.01247	2274	903	50	33
81	0.49938	0.00200	0.57929	0.88008	0.57929	0.52986	-6.69003	2295	882	55	28
81	0.50036	0.00200	0.59444	0.88893	0.59444	0.55558	-6.93255	2267	910	50	33
81	0.49917	0.00200	0.55151	0.86622	0.55151	0.54120	-6.48396	2367	810	55	28
81	0.49962	0.00200	0.56577	0.88179	0.56577	0.52285	-6.67757	2327	850	57	26
81	0.49923	0.00200	0.57401	0.89546	0.57401	0.55971	-7.11117	2255	922	49	34
81	0.50069	0.00200	0.60837	0.86064	0.60837	0.53683	-6.62675	2301	876	54	29
81	0.49926	0.00200	0.58166	0.87463	0.58166	0.52092	-6.38680	2353	824	58	25
81	0.49987	0.00200	0.58504	0.88958	0.58504	0.55679	-6.84675	2313	864	51	32
81	0.49774	0.00200	0.55448	0.87884	0.55448	0.53070	-7.01714	2262	915	54	29
81	0.50079	0.00200	0.58153	0.88006	0.58153	0.53656	-6.98942	2261	916	53	30
81	0.49912	0.00200	0.60440	0.87949	0.60440	0.55448	-6.92798	2260	917	50	33
81	0.49994	0.00200	0.60476	0.87056	0.60476	0.55333	-6.89613	2291	886	51	32
81	0.49921	0.00200	0.59939	0.86503	0.59939	0.56140	-6.73113	2304	873	50	33
81	0.49995	0.00200	0.60386	0.86905	0.60386	0.56432	-6.88939	2246	931	48	35
81	0.50211	0.00200	0.58553	0.88670	0.58553	0.56657	-7.23173	2222	955	47	36
81	0.49939	0.00200	0.60396	0.84960	0.60396	0.54927	-6.23300	2380	797	54	29
81	0.50089	0.00200	0.58481	0.88342	0.58481	0.55396	-6.71112	2295	882	51	32
81	0.50074	0.00200	0.56485	0.88559	0.56485	0.54369	-6.99726	2268	909	52	31
