number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
72	0.49977	0.64471	0.49407	0.89179	0.49407	0.50648	-7.45748	2223	954	57	26
72	0.50061	0.74052	0.48886	0.87770	0.48886	0.47841	-7.27586	2236	941	62	21
72	0.49909	0.03393	0.53293	0.88854	0.53293	0.53137	-7.28767	2228	949	53	30
72	0.50042	0.39721	0.50385	0.87385	0.50385	0.47427	-7.18374	2248	929	63	20
72	0.49998	0.48703	0.50097	0.87923	0.50097	0.47490	-7.21037	2252	925	63	20
72	0.50042	0.52096	0.50051	0.84824	0.50051	0.47635	-6.36770	2376	801	66	17
72	0.50026	0.15369	0.51816	0.88067	0.51816	0.51393	-7.56693	2232	945	56	27
72	0.49995	0.12176	0.51908	0.87722	0.51908	0.50467	-7.04536	2288	889	59	24
72	0.49949	0.17565	0.51561	0.88158	0.51561	0.51278	-7.19809	2263	914	57	26
72	0.49981	0.59481	0.49576	0.88186	0.49576	0.47581	-6.97889	2296	881	64	19
72	0.50001	0.38922	0.50476	0.89005	0.50476	0.49030	-7.49873	2235	942	60	23
72	0.50131	0.12176	0.52015	0.88231	0.52015	0.49750	-6.82981	2319	858	61	22
72	0.49997	0.07385	0.52321	0.88628	0.52321	0.50294	-7.15136	2277	900	59	24
72	0.50000	0.52695	0.50014	0.87173	0.50014	0.52928	-7.25536	2253	924	54	29
72	0.50008	0.22355	0.51306	0.87185	0.51306	0.50577	-6.93364	2295	882	59	24
72	0.49868	0.24551	0.50976	0.88369	0.50976	0.50545	-7.12306	2293	884	59	24
72	0.49887	0.08383	0.52004	0.88576	0.52004	0.47841	-7.30933	2236	941	62	21
72	0.50057	0.04990	0.52690	0.87693	0.52690	0.50408	-7.19659	2246	931	58	25
72	0.49998	0.22156	0.51258	0.86824	0.51258	0.47313	-6.87168	2279	898	64	19
72	0.49998	0.11776	0.52158	0.87659	0.52158	0.51352	-7.00527	2306	871	58	25
