number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
396	0.50075	0.00399	0.54808	0.91265	0.54808	0.55833	-6.99137	2261	915	50	34
396	0.49991	0.00399	0.54573	0.90703	0.54573	0.54958	-6.71199	2281	895	52	32
396	0.50048	0.02994	0.52990	0.90759	0.52990	0.51166	-6.92483	2267	909	58	26
396	0.50029	0.00798	0.54059	0.89310	0.54058	0.55424	-7.01151	2235	941	50	34
396	0.49966	0.10180	0.51878	0.89708	0.51877	0.52511	-7.15184	2239	937	55	29
396	0.49939	0.00998	0.53720	0.88914	0.53717	0.50010	-6.59061	2307	869	61	23
396	0.50095	0.15170	0.51818	0.89461	0.51818	0.50652	-6.75072	2310	866	60	24
396	0.49994	0.09980	0.52025	0.91144	0.52023	0.49597	-7.07591	2243	933	60	24
396	0.49972	0.00998	0.53405	0.89097	0.53408	0.53518	-6.81224	2303	873	55	29
396	0.49976	0.01397	0.53688	0.90848	0.53687	0.55159	-6.93275	2256	920	51	33
396	0.49990	0.08782	0.52236	0.89666	0.52237	0.52860	-6.76261	2299	877	56	28
396	0.50003	0.02196	0.53871	0.88951	0.53870	0.56167	-6.54084	2320	856	51	33
396	0.50058	0.00599	0.54682	0.90545	0.54682	0.56743	-6.91788	2281	895	49	35
396	0.49904	0.02794	0.53265	0.90615	0.53265	0.53827	-6.87291	2247	929	53	31
396	0.50094	0.07385	0.52469	0.89491	0.52469	0.51890	-6.57829	2313	863	58	26
396	0.49993	0.03194	0.53046	0.91275	0.53046	0.53720	-6.88077	2278	898	54	30
396	0.49992	0.01198	0.53374	0.89229	0.53375	0.53534	-6.65772	2304	872	55	29
396	0.50087	0.01597	0.53475	0.90821	0.53474	0.54003	-6.71110	2296	880	54	30
396	0.49960	0.00399	0.55283	0.91062	0.55283	0.57244	-6.97590	2275	901	48	36
396	0.50028	0.00998	0.53881	0.90816	0.53882	0.54847	-6.83443	2274	902	52	32
