number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
57	0.50045	0.06188	0.52703	0.86115	0.52728	0.52823	-7.08785	2221	955	54	30
57	0.50046	0.18363	0.51513	0.86145	0.51654	0.51629	-7.30050	2183	993	55	29
57	0.49811	0.15768	0.51693	0.84685	0.51793	0.51771	-7.07951	2192	984	55	29
57	0.49970	0.03992	0.52952	0.86279	0.52923	0.53182	-7.13805	2206	970	53	31
57	0.49970	0.02196	0.53366	0.86412	0.53403	0.54113	-6.65791	2303	873	54	30
57	0.49847	0.10778	0.51912	0.86115	0.51779	0.50675	-7.14282	2198	978	57	27
57	0.50090	0.03792	0.53109	0.85888	0.53262	0.51254	-7.09536	2197	979	56	28
57	0.49934	0.15768	0.51587	0.86779	0.51588	0.50300	-6.97234	2212	964	58	26
57	0.50153	0.05788	0.52718	0.87055	0.52808	0.53481	-7.08836	2225	951	53	31
57	0.49887	0.02196	0.53095	0.86590	0.52921	0.53824	-7.11276	2209	967	52	32
57	0.50053	0.23353	0.51341	0.85169	0.51238	0.50552	-6.90850	2228	948	58	26
57	0.50009	0.03792	0.53026	0.86814	0.52972	0.52410	-7.34831	2157	1019	53	31
57	0.50029	0.04391	0.52679	0.87945	0.52809	0.53692	-7.66368	2125	1051	50	34
57	0.50169	0.03792	0.53061	0.85328	0.53154	0.54013	-6.94275	2221	955	52	32
57	0.50022	0.02794	0.53335	0.87859	0.53253	0.52911	-7.48825	2151	1025	52	32
57	0.50061	0.05788	0.52818	0.86979	0.52838	0.51412	-7.07571	2207	969	56	28
57	0.49875	0.02794	0.53001	0.85836	0.52991	0.53717	-6.91801	2240	936	53	31
57	0.49986	0.00399	0.55232	0.87565	0.55213	0.51786	-7.05357	2193	983	55	29
57	0.49966	0.07784	0.52310	0.86349	0.52092	0.51664	-6.93655	2223	953	56	28
57	0.50059	0.01397	0.53743	0.87323	0.53884	0.51254	-7.29091	2197	979	56	28
