number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
425	0.49912	0.19361	0.51581	0.83019	0.51484	0.49284	-7.67423	2098	1079	56	27
425	0.49927	0.02196	0.53107	0.83900	0.53049	0.49221	-7.69934	2094	1083	56	27
425	0.50100	0.06188	0.52610	0.82329	0.52546	0.49279	-7.34141	2136	1041	57	26
425	0.50092	0.32335	0.50877	0.80686	0.50898	0.50019	-7.17572	2183	994	57	26
425	0.49924	0.16168	0.51554	0.82920	0.51583	0.50961	-7.48235	2128	1049	54	29
425	0.49946	0.24551	0.51039	0.82446	0.51035	0.50464	-7.36431	2173	1004	56	27
425	0.50128	0.00599	0.54873	0.81278	0.54794	0.51480	-7.23695	2161	1016	54	29
425	0.50102	0.00399	0.54336	0.84119	0.54378	0.52134	-7.47466	2126	1051	52	31
425	0.49802	0.11377	0.51822	0.83163	0.51817	0.51102	-7.42319	2137	1040	54	29
425	0.49882	0.08383	0.52149	0.83764	0.52207	0.50196	-7.46303	2156	1021	56	27
425	0.50003	0.02196	0.53212	0.82781	0.53065	0.48681	-7.61937	2098	1079	57	26
425	0.50041	0.16966	0.51633	0.83351	0.51454	0.47130	-7.62362	2076	1101	59	24
425	0.49858	0.13972	0.51541	0.80733	0.51428	0.49313	-6.89272	2253	924	60	23
425	0.49991	0.05988	0.52571	0.82521	0.52615	0.49751	-7.39721	2166	1011	57	26
425	0.50032	0.21756	0.51267	0.84025	0.51211	0.49843	-7.93839	2057	1120	54	29
425	0.50024	0.10778	0.52163	0.82753	0.51990	0.50098	-7.33599	2188	989	57	26
425	0.50009	0.13573	0.51729	0.84235	0.51672	0.47524	-7.78485	2101	1076	59	24
425	0.49968	0.20359	0.51444	0.82211	0.51370	0.49086	-7.33770	2162	1015	58	25
425	0.49950	0.03194	0.53128	0.83608	0.53102	0.54611	-7.56144	2092	1085	47	36
425	0.50042	0.04192	0.52772	0.82952	0.52857	0.52590	-7.50074	2155	1022	52	31
