number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
361	0.50042	0.01996	0.53581	0.79648	0.52762	0.49433	-1.39442	3140	36	84	0
361	0.50086	0.00399	0.54001	0.79108	0.54210	0.49806	-3.58695	2899	277	77	7
361	0.50111	0.00200	0.55674	0.79162	0.54856	0.50323	-19.05934	323	2853	8	76
361	0.50042	0.01996	0.53492	0.79103	0.53376	0.52779	-12.08156	1273	1903	29	55
361	0.50055	0.16766	0.51717	0.80144	0.51838	0.52171	-3.40901	2898	278	73	11
361	0.50046	0.00998	0.54025	0.80973	0.53330	0.53071	-10.64101	1594	1582	37	47
361	0.49936	0.00998	0.54292	0.83071	0.54789	0.52017	-2.91739	2926	250	74	10
361	0.49880	0.04192	0.52835	0.79744	0.53012	0.53098	-13.63761	1142	2034	25	59
361	0.50074	0.00599	0.54830	0.80343	0.55134	0.49493	-16.70938	724	2452	20	64
361	0.49958	0.10778	0.51910	0.79125	0.52160	0.52494	-10.36453	1633	1543	39	45
361	0.49913	0.02595	0.53173	0.80298	0.52720	0.49948	-4.70170	2719	457	72	12
361	0.50046	0.26747	0.51120	0.77640	0.50797	0.50837	-24.21649	91	3085	1	83
361	0.49939	0.02395	0.53195	0.78821	0.53139	0.50346	-22.42622	211	2965	5	79
361	0.49997	0.06387	0.52484	0.79807	0.53196	0.53068	-11.72283	1367	1809	31	53
361	0.50000	0.00399	0.55028	0.82526	0.55800	0.52963	-4.87204	2608	568	64	20
361	0.50216	0.00399	0.54762	0.80233	0.55765	0.51056	-3.90569	2865	311	74	10
361	0.49980	0.01796	0.53224	0.76634	0.52472	0.49849	-13.09558	860	2316	23	61
361	0.49927	0.09980	0.52127	0.81539	0.52270	0.52996	-7.25968	2232	944	54	30
361	0.49913	0.00200	0.55174	0.78250	0.54628	0.49021	-2.48594	3076	100	83	1
361	0.50048	0.08383	0.52167	0.81928	0.52305	0.52816	-6.57376	2334	842	57	27
