number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
477	0.49981	0.00200	0.55461	0.84910	0.54720	0.52150	-4.36649	2632	544	66	18
477	0.50081	0.08583	0.52408	0.83129	0.53824	0.51427	-1.89698	3002	174	77	7
477	0.49872	0.00200	0.58662	0.82945	0.56114	0.52525	-4.51683	2618	558	65	19
477	0.50071	0.00798	0.53776	0.84932	0.54446	0.52801	-13.15412	1350	1826	31	53
477	0.50006	0.01796	0.53719	0.84327	0.52659	0.52908	-7.89593	2113	1063	51	33
477	0.50061	0.00200	0.57681	0.85076	0.58372	0.57069	-9.60815	1848	1328	37	47
477	0.50110	0.02794	0.52873	0.80701	0.52601	0.50255	-10.46283	1642	1534	43	41
477	0.50014	0.00200	0.57276	0.81157	0.54965	0.53880	-10.05702	1721	1455	39	45
477	0.50023	0.00200	0.56700	0.86715	0.57488	0.56566	-10.61163	1816	1360	37	47
477	0.49812	0.00200	0.55606	0.84714	0.56012	0.55931	-6.54528	2305	871	51	33
477	0.50083	0.00200	0.56542	0.84715	0.59511	0.58000	-12.37734	1529	1647	27	57
477	0.50102	0.00200	0.57561	0.86111	0.57200	0.55985	-13.28273	1401	1775	27	57
477	0.49978	0.00200	0.54417	0.85631	0.55031	0.53053	-8.68106	1971	1205	47	37
477	0.50078	0.00200	0.56167	0.85300	0.57024	0.52181	-3.09932	2823	353	71	13
477	0.50022	0.00200	0.56773	0.84667	0.58206	0.57716	-12.37852	1511	1665	27	57
477	0.50026	0.00200	0.55149	0.87282	0.52868	0.51400	-9.59929	1866	1310	47	37
477	0.49970	0.00200	0.56962	0.85737	0.56933	0.56877	-8.92636	1987	1189	41	43
477	0.50155	0.00200	0.56936	0.81291	0.55914	0.56359	-7.29823	2181	995	47	37
477	0.50019	0.00200	0.57183	0.84258	0.56794	0.57056	-8.04789	2074	1102	43	41
477	0.49992	0.00399	0.55373	0.84244	0.56265	0.55101	-9.25339	1912	1264	42	42
