number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
444	0.49977	0.34930	0.50643	0.79924	0.50137	0.50077	-10.68264	1536	1641	40	43
444	0.49946	0.26347	0.51016	0.82908	0.52755	0.50305	-10.41276	1627	1550	42	41
444	0.49989	0.18164	0.51325	0.80767	0.52449	0.50490	-8.61190	1945	1232	50	33
444	0.49939	0.54092	0.49662	0.80432	0.50110	0.50819	-7.67173	2119	1058	54	29
444	0.50027	0.13972	0.51828	0.80821	0.51059	0.49798	-8.94265	1901	1276	50	33
444	0.49950	0.09980	0.52018	0.81955	0.50829	0.50253	-14.80114	973	2204	25	58
444	0.50082	0.50898	0.49949	0.80929	0.51120	0.51417	-3.99676	2846	331	72	11
444	0.49965	0.18164	0.51631	0.77126	0.51779	0.52968	-12.93159	801	2376	16	67
444	0.49978	0.83633	0.48387	0.80447	0.49449	0.48242	-12.03668	1228	1949	35	48
444	0.50082	0.03194	0.53147	0.81055	0.53127	0.52192	-9.08791	1900	1277	46	37
444	0.49956	0.00599	0.53762	0.80491	0.54209	0.50490	-4.99812	2634	543	68	15
444	0.49996	0.22156	0.51134	0.80130	0.50955	0.50482	-4.58389	2710	467	70	13
444	0.50046	0.03992	0.52887	0.82180	0.53405	0.50226	-22.46815	244	2933	6	77
444	0.50050	0.03194	0.52868	0.83050	0.53249	0.53320	-13.43963	1321	1856	29	54
444	0.49974	0.12176	0.51902	0.80020	0.52556	0.50474	-9.55111	1944	1233	50	33
444	0.49802	0.04192	0.52469	0.81696	0.51937	0.49721	-6.19025	2432	745	64	19
444	0.49768	0.02794	0.52495	0.80898	0.51001	0.48826	-7.10971	2222	955	60	23
444	0.49914	0.05190	0.52759	0.81285	0.52764	0.50423	-4.95198	2668	509	69	14
444	0.49943	0.00599	0.54365	0.78275	0.54893	0.51446	-4.32799	2733	444	69	14
444	0.50010	0.05389	0.52827	0.81375	0.52272	0.50922	-4.47205	2738	439	70	13
