number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
200	0.49984	0.00599	0.54821	0.96203	0.54821	0.49570	-2.73134	2884	292	77	7
200	0.49972	0.20359	0.51387	0.96340	0.51387	0.51680	-3.11770	2829	347	72	12
200	0.49981	0.00200	0.55564	0.96429	0.55564	0.51182	-2.64364	2873	303	74	10
200	0.50007	0.01397	0.53427	0.96298	0.53427	0.50067	-3.03366	2840	336	75	9
200	0.49948	0.02794	0.52884	0.96178	0.52884	0.50807	-2.81494	2887	289	75	9
200	0.49978	0.00200	0.54355	0.96307	0.54355	0.50852	-2.95153	2852	324	74	10
200	0.49959	0.03992	0.53122	0.95714	0.53122	0.50288	-2.84671	2854	322	75	9
200	0.49916	0.00599	0.54431	0.95318	0.54431	0.51951	-2.70038	2884	292	73	11
200	0.49867	0.00998	0.53706	0.96473	0.53706	0.51053	-3.13400	2827	349	73	11
200	0.49943	0.01996	0.53404	0.96240	0.53404	0.49570	-2.62313	2884	292	77	7
200	0.49984	0.00998	0.53676	0.95896	0.53676	0.51163	-3.01559	2834	342	73	11
200	0.49913	0.00998	0.53860	0.96361	0.53860	0.50663	-2.97207	2840	336	74	10
200	0.50110	0.00399	0.54248	0.96705	0.54248	0.49790	-2.52522	2898	278	77	7
200	0.49989	0.00599	0.54500	0.96344	0.54500	0.50962	-2.79191	2859	317	74	10
200	0.49938	0.00200	0.53938	0.96447	0.53938	0.50747	-2.27930	2921	255	76	8
200	0.50023	0.06786	0.52275	0.96074	0.52275	0.51790	-3.13279	2836	340	72	12
200	0.50046	0.00998	0.54257	0.96840	0.54257	0.51570	-3.34275	2822	354	72	12
200	0.49933	0.17166	0.51565	0.95527	0.51565	0.51620	-2.93695	2863	313	73	11
200	0.49999	0.00200	0.55728	0.96203	0.55728	0.50445	-2.79898	2864	312	75	9
200	0.50024	0.16966	0.51539	0.96611	0.51539	0.49129	-2.90004	2856	320	77	7
