number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
1	0.49982	0.00200	0.57466	0.98643	0.57466	0.53023	-6.51239	2527	650	61	22
1	0.50052	0.00399	0.55923	0.99314	0.55923	0.53405	-6.53562	2513	664	60	23
1	0.50080	0.04790	0.52769	0.98725	0.52769	0.50223	-5.44755	2617	560	68	15
1	0.49937	0.00200	0.56520	0.99148	0.56520	0.52542	-5.91599	2573	604	63	20
1	0.49937	0.00200	0.56237	0.99135	0.56237	0.50180	-6.00436	2576	601	67	16
1	0.50012	0.00200	0.57155	0.99015	0.57155	0.54109	-5.83361	2596	581	61	22
1	0.49976	0.00200	0.57324	0.99442	0.57324	0.53181	-6.03016	2537	640	61	22
1	0.49986	0.00200	0.57905	0.98943	0.57905	0.52747	-5.66748	2586	591	63	20
1	0.50066	0.00200	0.58217	0.98752	0.58217	0.54267	-5.59350	2606	571	61	22
1	0.50090	0.00200	0.58742	0.98980	0.58742	0.50841	-5.58425	2618	559	67	16
1	0.50088	0.00200	0.56524	0.98923	0.56524	0.53916	-5.37902	2622	555	62	21
1	0.49891	0.00200	0.55469	0.99064	0.55469	0.51207	-5.85244	2603	574	66	17
1	0.50087	0.00399	0.54921	0.98663	0.54921	0.52180	-6.35065	2550	627	63	20
1	0.50019	0.00200	0.56688	0.99042	0.56688	0.50515	-6.11174	2559	618	66	17
1	0.49848	0.00200	0.58762	0.98877	0.58762	0.54817	-5.13106	2641	536	61	22
1	0.50073	0.00200	0.57345	0.98591	0.57345	0.52354	-6.02298	2561	616	63	20
1	0.49862	0.00200	0.57046	0.98947	0.57046	0.54365	-5.93811	2574	603	60	23
1	0.49892	0.00200	0.57274	0.98775	0.57274	0.54161	-6.07205	2561	616	60	23
1	0.49993	0.00200	0.55915	0.98970	0.55915	0.51794	-5.60717	2602	575	65	18
1	0.50051	0.00200	0.57080	0.98961	0.57080	0.49593	-6.12672	2577	600	68	15
