number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
54	0.49956	0.03992	0.52621	0.97842	0.52621	0.52725	-3.42255	2776	401	68	15
54	0.50119	0.00599	0.54526	0.97941	0.54526	0.52430	-4.08390	2719	458	67	16
54	0.49978	0.06587	0.52511	0.97871	0.52511	0.52103	-3.26167	2813	364	70	13
54	0.49968	0.06587	0.52364	0.97871	0.52364	0.52118	-3.27396	2814	363	70	13
54	0.50103	0.00200	0.54650	0.97454	0.54650	0.52509	-4.13340	2724	453	67	16
54	0.49907	0.16966	0.51563	0.97445	0.51563	0.52197	-3.19309	2819	358	70	13
54	0.49964	0.04391	0.52802	0.97576	0.52802	0.50709	-3.33153	2801	376	72	11
54	0.49949	0.00599	0.54111	0.97817	0.54111	0.52217	-3.52188	2782	395	69	14
54	0.49952	0.02395	0.53117	0.97511	0.53117	0.51496	-2.85740	2851	326	72	11
54	0.50009	0.21357	0.51237	0.97598	0.51237	0.51221	-3.53091	2757	420	70	13
54	0.50033	0.04591	0.52522	0.97304	0.52522	0.50709	-3.32781	2801	376	72	11
54	0.50031	0.01397	0.53649	0.97623	0.53649	0.54816	-3.41476	2794	383	65	18
54	0.49984	0.03593	0.53083	0.97817	0.53083	0.50871	-3.52298	2773	404	71	12
54	0.49979	0.02196	0.53265	0.97334	0.53265	0.50406	-3.12809	2820	357	73	10
54	0.49861	0.01597	0.53424	0.97649	0.53424	0.52835	-3.46681	2783	394	68	15
54	0.49877	0.04990	0.52431	0.98122	0.52431	0.50426	-3.46039	2783	394	72	11
54	0.49906	0.00399	0.54130	0.97468	0.54130	0.52280	-3.57515	2786	391	69	14
54	0.49889	0.01597	0.53467	0.98309	0.53467	0.53332	-3.76713	2738	439	66	17
54	0.50091	0.00200	0.56124	0.97861	0.56124	0.51673	-3.22853	2824	353	71	12
54	0.49988	0.00798	0.53989	0.97803	0.53989	0.52725	-3.50321	2776	401	68	15
