number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
151	0.49907	0.00200	0.57985	0.97738	0.57112	0.55155	-7.95741	2050	1127	45	38
151	0.49915	0.00200	0.56866	0.97639	0.54653	0.52968	-7.54049	2179	998	52	31
151	0.50064	0.00200	0.55716	0.98081	0.54860	0.49335	-8.07850	2063	1114	55	28
151	0.49852	0.00200	0.55532	0.97770	0.56353	0.56367	-7.68691	2127	1050	45	38
151	0.49965	0.92216	0.47520	0.97594	0.46905	0.48677	-7.87297	2136	1041	58	25
151	0.50042	0.00200	0.55877	0.97988	0.56502	0.52089	-7.70649	2238	939	55	28
151	0.50040	0.00200	0.56993	0.97809	0.56597	0.56189	-7.57732	2154	1023	46	37
151	0.50013	0.00200	0.55082	0.98337	0.54493	0.52606	-7.54839	2156	1021	52	31
151	0.50064	0.00200	0.58198	0.98619	0.57893	0.56232	-7.53273	2195	982	47	36
151	0.49980	0.00200	0.55473	0.98601	0.55510	0.54571	-7.54831	2166	1011	49	34
151	0.49988	0.00998	0.54258	0.97820	0.54142	0.50342	-7.79670	2127	1050	55	28
151	0.49916	0.00200	0.54406	0.97957	0.53739	0.52705	-7.76202	2124	1053	51	32
151	0.50011	0.00200	0.57200	0.97919	0.56180	0.51410	-7.92726	2080	1097	52	31
151	0.50037	0.01796	0.53504	0.97909	0.52841	0.48189	-7.74280	2105	1072	58	25
151	0.49955	0.00200	0.55308	0.97603	0.55147	0.53654	-7.73803	2146	1031	50	33
151	0.50063	0.00998	0.53768	0.98414	0.54740	0.53890	-7.65467	2161	1016	50	33
151	0.50066	0.01198	0.54078	0.98112	0.54026	0.51921	-7.65360	2189	988	54	29
151	0.49947	0.00200	0.55815	0.98298	0.55621	0.54252	-7.51662	2184	993	50	33
151	0.49924	0.00200	0.58123	0.97998	0.57599	0.53249	-7.77031	2082	1095	49	34
151	0.49960	0.00200	0.57299	0.98506	0.57187	0.55670	-7.72613	2121	1056	46	37
