number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
443	0.50058	0.01996	0.53596	0.86046	0.52653	0.51654	-8.17566	2298	878	58	26
443	0.50100	0.00200	0.56674	0.88100	0.56590	0.55320	-8.40034	2115	1061	47	37
443	0.50018	0.27944	0.50986	0.86426	0.53608	0.52271	-8.22741	2375	801	59	25
443	0.49925	0.01796	0.53805	0.85959	0.54422	0.53109	-8.27395	2277	899	55	29
443	0.49997	0.00200	0.54838	0.85261	0.55200	0.55865	-8.27860	2263	913	50	34
443	0.50029	0.01397	0.54305	0.87178	0.54836	0.51509	-8.25755	2251	925	57	27
443	0.49954	0.00998	0.53859	0.86797	0.53676	0.51991	-8.34052	2206	970	55	29
443	0.50062	0.00399	0.54864	0.85923	0.55130	0.53515	-8.27682	2265	911	54	30
443	0.50072	0.09182	0.52438	0.87096	0.53570	0.50196	-8.20923	2281	895	60	24
443	0.49967	0.00200	0.54973	0.86845	0.55641	0.53745	-8.25730	2204	972	52	32
443	0.49811	0.00599	0.54521	0.88310	0.55529	0.55843	-8.30535	2186	990	48	36
443	0.50153	0.03194	0.53303	0.86442	0.54351	0.51194	-8.27457	2231	945	57	27
443	0.50033	0.04192	0.52778	0.88068	0.54949	0.52249	-8.17669	2298	878	57	27
443	0.50063	0.00200	0.56927	0.86038	0.56379	0.51729	-8.18921	2265	911	57	27
443	0.49965	0.01397	0.54091	0.86308	0.54534	0.53496	-8.34599	2226	950	53	31
443	0.49860	0.55888	0.49558	0.87222	0.49694	0.50101	-8.26531	2275	901	60	24
443	0.50003	0.00798	0.54073	0.86993	0.54453	0.54214	-8.16531	2385	791	56	28
443	0.49948	0.00599	0.54683	0.85975	0.54396	0.52892	-8.32270	2112	1064	51	33
443	0.49980	0.00200	0.57888	0.88601	0.57891	0.55544	-8.30337	2167	1009	48	36
443	0.50136	0.00200	0.58413	0.87570	0.57902	0.56258	-8.18822	2288	888	50	34
