number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
334	0.50014	0.00200	0.56937	0.98146	0.56398	0.53991	-7.49591	2144	1032	50	34
334	0.50053	0.00200	0.56647	0.99093	0.55517	0.52274	-7.39206	2224	952	55	29
334	0.49931	0.13174	0.51680	0.98639	0.52225	0.48505	-7.61408	2098	1078	58	26
334	0.50021	0.00200	0.55878	0.98732	0.55604	0.52539	-7.44596	2203	973	54	30
334	0.49879	0.00200	0.54676	0.98630	0.55329	0.54455	-7.81951	2060	1116	47	37
334	0.49987	0.00599	0.54440	0.98763	0.53642	0.50313	-7.45387	2175	1001	57	27
334	0.49897	0.00200	0.58717	0.98636	0.58848	0.56105	-7.60461	2127	1049	46	38
334	0.50007	0.00200	0.55507	0.98638	0.55227	0.52341	-7.81577	2077	1099	51	33
334	0.49984	0.00599	0.53739	0.98589	0.54603	0.54524	-7.48943	2140	1036	49	35
334	0.49959	0.21357	0.51324	0.98485	0.51796	0.50650	-7.65583	2083	1093	54	30
334	0.49953	0.00599	0.53976	0.98618	0.53619	0.52927	-7.61681	2152	1024	52	32
334	0.49956	0.00399	0.54179	0.98598	0.53613	0.51119	-7.78689	2075	1101	53	31
334	0.49852	0.74251	0.48884	0.98018	0.50149	0.48637	-7.63565	2182	994	60	24
334	0.49975	0.02196	0.53260	0.98484	0.52632	0.52234	-7.65857	2108	1068	52	32
334	0.50004	0.00200	0.58974	0.98695	0.58438	0.52300	-7.52724	2150	1026	53	31
334	0.49884	0.01198	0.53729	0.98903	0.53091	0.52143	-7.56489	2140	1036	53	31
334	0.50050	0.00599	0.54578	0.98345	0.54518	0.51053	-7.93178	2033	1143	52	32
334	0.49912	0.00200	0.55897	0.98213	0.55100	0.53154	-7.97361	2053	1123	49	35
334	0.50128	0.05190	0.52702	0.98358	0.52993	0.51736	-7.65899	2152	1024	54	30
334	0.49858	0.02595	0.52970	0.98542	0.53415	0.50606	-7.57018	2118	1058	55	29
