number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
285	0.50039	0.00399	0.54764	0.85685	0.54764	0.53454	-6.84107	2363	814	56	27
285	0.49949	0.00200	0.56208	0.86151	0.56201	0.53371	-6.42226	2396	781	57	26
285	0.50110	0.00798	0.55478	0.84955	0.55488	0.50813	-6.46142	2310	867	59	24
285	0.49940	0.01397	0.53947	0.87748	0.53940	0.52375	-6.87429	2371	806	58	25
285	0.49981	0.00200	0.57718	0.85909	0.57729	0.54151	-6.36176	2369	808	55	28
285	0.50067	0.00200	0.55791	0.86941	0.55783	0.50714	-6.70415	2342	835	60	23
285	0.50076	0.00200	0.56088	0.86590	0.56080	0.54983	-7.09521	2307	870	52	31
285	0.49962	0.00200	0.56109	0.86272	0.56117	0.52722	-6.79339	2393	784	58	25
285	0.50034	0.00200	0.55607	0.87948	0.55604	0.53223	-6.95933	2310	867	55	28
285	0.50106	0.00200	0.58235	0.86090	0.58236	0.53340	-6.49150	2394	783	57	26
285	0.49965	0.00200	0.55422	0.86150	0.55411	0.52061	-6.59431	2351	826	58	25
285	0.50013	0.00200	0.55788	0.86302	0.55786	0.54313	-6.78829	2341	836	54	29
285	0.49989	0.00399	0.54774	0.87272	0.54773	0.52101	-7.02716	2277	900	56	27
285	0.49844	0.00200	0.56837	0.87188	0.56841	0.53782	-7.23649	2269	908	53	30
285	0.50046	0.00200	0.56493	0.87226	0.56496	0.53092	-6.72596	2340	837	56	27
285	0.50187	0.08583	0.52421	0.84929	0.52416	0.51966	-6.72534	2345	832	58	25
285	0.50045	0.00200	0.56123	0.87805	0.56116	0.51663	-6.90659	2364	813	59	24
285	0.50170	0.00200	0.55637	0.86790	0.55649	0.52847	-6.80485	2401	776	58	25
285	0.50020	0.00200	0.57234	0.87122	0.57233	0.51710	-6.75761	2367	810	59	24
285	0.50010	0.00200	0.55534	0.86380	0.55520	0.54092	-6.79982	2327	850	54	29
