number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
321	0.49984	0.00200	0.55244	0.89412	0.55244	0.54003	-6.85704	2296	880	54	30
321	0.49987	0.02794	0.52854	0.88932	0.52857	0.55178	-6.75627	2295	881	52	32
321	0.50097	0.00798	0.54194	0.87782	0.54199	0.51446	-6.94524	2247	929	57	27
321	0.50086	0.00200	0.55366	0.88326	0.55375	0.54712	-6.57677	2341	835	54	30
321	0.49988	0.03992	0.52790	0.87722	0.52768	0.50350	-6.92493	2253	923	59	25
321	0.50151	0.50898	0.50134	0.87189	0.50139	0.51122	-6.87262	2302	874	59	25
321	0.50095	0.02794	0.53486	0.87682	0.53498	0.54110	-6.85668	2265	911	53	31
321	0.49915	0.00599	0.53843	0.87821	0.53840	0.53824	-7.19995	2209	967	52	32
321	0.49921	0.03992	0.52776	0.89019	0.52775	0.53449	-7.03344	2223	953	53	31
321	0.49882	0.37325	0.50458	0.88858	0.50454	0.51695	-7.25162	2225	951	56	28
321	0.50067	0.11776	0.52170	0.87250	0.52177	0.52403	-6.70823	2270	906	56	28
321	0.50214	0.04990	0.52880	0.89177	0.52874	0.51484	-6.60793	2325	851	59	25
321	0.49941	0.00200	0.54589	0.87839	0.54593	0.52422	-6.64198	2309	867	57	27
321	0.49932	0.21357	0.51301	0.89916	0.51318	0.51415	-6.95081	2245	931	57	27
321	0.49987	0.21756	0.51321	0.87585	0.51320	0.50334	-6.73487	2252	924	59	25
321	0.49972	0.14770	0.51899	0.88070	0.51899	0.50334	-6.58462	2252	924	59	25
321	0.50062	0.12774	0.51877	0.89277	0.51878	0.50864	-7.36574	2210	966	57	27
321	0.50019	0.05788	0.52394	0.87260	0.52393	0.51855	-6.57054	2273	903	57	27
321	0.49994	0.01597	0.53788	0.88489	0.53785	0.51427	-7.04543	2208	968	56	28
321	0.50023	0.30539	0.50726	0.89354	0.50722	0.53616	-7.62262	2158	1018	51	33
