number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
95	0.49979	0.01996	0.53575	0.86552	0.53571	0.52268	-6.79817	2337	839	58	26
95	0.50054	0.04192	0.53014	0.86667	0.53009	0.49626	-7.10341	2207	969	59	25
95	0.49994	0.04192	0.52945	0.88975	0.52941	0.50798	-7.63858	2168	1008	56	28
95	0.50066	0.39521	0.50413	0.86372	0.50412	0.49112	-6.94357	2250	926	61	23
95	0.50035	0.07984	0.52354	0.86855	0.52354	0.50750	-6.46781	2354	822	61	23
95	0.49972	0.29940	0.50875	0.88068	0.50872	0.48111	-7.13632	2262	914	63	21
95	0.49882	0.16966	0.51396	0.87385	0.51403	0.49613	-7.01208	2244	932	60	24
95	0.49940	0.21158	0.51179	0.88413	0.51183	0.50523	-6.96580	2264	912	59	25
95	0.49963	0.00798	0.54335	0.86552	0.54335	0.50841	-6.81914	2322	854	60	24
95	0.49906	0.04192	0.52819	0.87377	0.52818	0.53628	-6.83453	2310	866	55	29
95	0.49915	0.14970	0.51550	0.87592	0.51550	0.49912	-7.08260	2263	913	60	24
95	0.49930	0.14970	0.51686	0.87213	0.51686	0.49682	-6.65427	2324	852	62	22
95	0.49857	0.04391	0.52619	0.87063	0.52619	0.51487	-6.76488	2363	813	60	24
95	0.50039	0.08184	0.52378	0.89154	0.52381	0.50901	-6.91330	2288	888	59	25
95	0.50009	0.48303	0.50076	0.87394	0.50079	0.50570	-7.10369	2267	909	59	25
95	0.49988	0.02196	0.53306	0.86654	0.53333	0.49729	-6.86560	2327	849	62	22
95	0.49961	0.66467	0.49174	0.87254	0.49178	0.49257	-6.78245	2297	879	62	22
95	0.49861	0.05988	0.52329	0.86678	0.52324	0.49194	-6.82254	2293	883	62	22
95	0.50064	0.14172	0.51839	0.87789	0.51838	0.50611	-6.73746	2383	793	62	22
95	0.50208	0.27545	0.51125	0.88883	0.51123	0.49705	-7.14140	2212	964	59	25
