number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
204	0.49853	0.03393	0.52770	0.59457	0.52770	0.50990	-9.20597	1424	1752	36	48
204	0.50026	0.82435	0.48423	0.59447	0.48423	0.50478	-9.29357	1694	1482	44	40
204	0.50079	0.12375	0.52078	0.60023	0.52078	0.50954	-9.27580	1573	1603	40	44
204	0.50126	0.63473	0.49623	0.57944	0.49623	0.47585	-9.32600	1548	1628	45	39
204	0.49835	0.33733	0.50406	0.60520	0.50406	0.51178	-9.57121	1625	1551	41	43
204	0.49952	0.82236	0.48500	0.61687	0.48500	0.48889	-9.67164	1404	1772	39	45
204	0.50182	0.05190	0.53043	0.60226	0.53043	0.54034	-9.42818	1693	1483	38	46
204	0.50002	0.08184	0.52441	0.58854	0.52441	0.52592	-9.05113	1677	1499	40	44
204	0.49978	0.03194	0.53411	0.60201	0.53411	0.52781	-9.14625	1689	1487	40	44
204	0.50061	0.68663	0.49418	0.60358	0.49418	0.51337	-9.39155	1257	1919	31	53
204	0.50006	0.26148	0.51083	0.61541	0.51083	0.49899	-9.60246	1695	1481	45	39
204	0.50103	0.19561	0.51464	0.60148	0.51464	0.49336	-9.49238	1508	1668	41	43
204	0.49934	0.62675	0.49338	0.59269	0.49338	0.51155	-9.28944	1737	1439	44	40
204	0.50069	0.00798	0.54022	0.58155	0.54022	0.50825	-9.12439	1527	1649	39	45
204	0.50108	0.02196	0.53698	0.60479	0.53698	0.49544	-9.23079	1370	1806	37	47
204	0.50050	0.59880	0.49706	0.59063	0.49706	0.49565	-9.18851	1636	1540	44	40
204	0.49865	0.05389	0.52551	0.60313	0.52551	0.49547	-9.38412	1408	1768	38	46
204	0.49980	0.21756	0.51226	0.60579	0.51226	0.45994	-9.46759	1636	1540	50	34
204	0.49875	0.05190	0.52416	0.61176	0.52416	0.50775	-9.66328	1486	1690	38	46
204	0.49922	0.06587	0.52289	0.61146	0.52289	0.52576	-9.45835	1676	1500	40	44
