number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
436	0.49950	0.00200	0.59950	0.65882	0.59950	0.60433	-9.02489	1797	1379	30	54
436	0.49940	0.00200	0.57740	0.64514	0.57740	0.57060	-9.22917	1734	1442	34	50
436	0.50058	0.00200	0.58112	0.65694	0.58112	0.58125	-9.23214	1726	1450	32	52
436	0.50076	0.00200	0.58273	0.62694	0.58273	0.56169	-8.87743	1753	1423	36	48
436	0.50089	0.00200	0.55783	0.62416	0.55783	0.55794	-8.92420	1767	1409	37	47
436	0.50080	0.00200	0.58649	0.65451	0.58649	0.58739	-9.14857	1765	1411	32	52
436	0.50031	0.00200	0.58149	0.65832	0.58149	0.56072	-9.29395	1709	1467	35	49
436	0.49989	0.00200	0.57561	0.64029	0.57561	0.55737	-9.03716	1839	1337	39	45
436	0.50063	0.00200	0.57954	0.64348	0.57954	0.54837	-9.04045	1744	1432	38	46
436	0.50060	0.00200	0.57616	0.63957	0.57616	0.57640	-9.14523	1733	1443	33	51
436	0.50163	0.00200	0.60942	0.65318	0.60942	0.56525	-9.28932	1700	1476	34	50
436	0.50058	0.00200	0.59957	0.66121	0.59957	0.54182	-8.97987	1778	1398	40	44
436	0.49934	0.00200	0.57217	0.63857	0.57217	0.55439	-9.34240	1631	1545	34	50
436	0.49935	0.00200	0.58531	0.66892	0.58531	0.55539	-9.39926	1713	1463	36	48
436	0.49955	0.00200	0.59705	0.64448	0.59705	0.56604	-9.01904	1705	1471	34	50
436	0.50087	0.00200	0.58231	0.60925	0.58231	0.59526	-8.83274	1815	1361	32	52
436	0.49993	0.00200	0.55688	0.65844	0.55688	0.55712	-9.33477	1724	1452	36	48
436	0.49985	0.00200	0.59679	0.65933	0.59679	0.54302	-9.25974	1710	1466	38	46
436	0.50236	0.00200	0.58229	0.63417	0.58229	0.59079	-9.09516	1711	1465	30	54
436	0.49967	0.00200	0.60601	0.61999	0.60601	0.58033	-8.93182	1758	1418	33	51
