number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
355	0.49876	0.07186	0.52276	0.57884	0.52276	0.54768	-6.75358	2458	718	57	27
355	0.49980	0.25549	0.51118	0.60948	0.51118	0.55024	-7.40152	2323	853	53	31
355	0.49899	0.02395	0.53413	0.59893	0.53413	0.55842	-7.33171	2375	801	53	31
355	0.49945	0.38124	0.50481	0.59954	0.50481	0.56163	-6.69561	2471	705	55	29
355	0.50125	0.02395	0.53209	0.57960	0.53209	0.56233	-7.15271	2362	814	52	32
355	0.49956	0.00399	0.53747	0.59990	0.53747	0.56359	-7.10274	2370	806	52	32
355	0.49952	0.00200	0.55749	0.59370	0.55749	0.57414	-7.52183	2248	928	47	37
355	0.50015	0.00599	0.54067	0.61238	0.54067	0.57386	-7.22886	2284	892	48	36
355	0.50018	0.14371	0.51664	0.58560	0.51664	0.55407	-6.45352	2423	753	55	29
355	0.50032	0.00798	0.53613	0.59083	0.53613	0.56563	-5.98747	2572	604	57	27
355	0.49963	0.00200	0.56835	0.61898	0.56835	0.57417	-7.15373	2286	890	48	36
355	0.49939	0.13573	0.51701	0.58145	0.51701	0.53835	-5.99913	2550	626	61	23
355	0.50128	0.19960	0.51368	0.59154	0.51368	0.53865	-7.35211	2325	851	55	29
355	0.49957	0.05389	0.52455	0.59697	0.52455	0.55826	-6.99363	2374	802	53	31
355	0.49976	0.00200	0.54289	0.59893	0.54289	0.57297	-6.34452	2543	633	55	29
355	0.50052	0.00200	0.55068	0.59888	0.55068	0.54919	-6.82882	2392	784	55	29
355	0.49976	0.00798	0.53756	0.61339	0.53756	0.56758	-6.53909	2471	705	54	30
355	0.49909	0.02794	0.53245	0.59726	0.53245	0.55140	-6.77877	2406	770	55	29
355	0.50093	0.01397	0.53751	0.59748	0.53751	0.56144	-6.88486	2432	744	54	30
355	0.49965	0.01397	0.53413	0.58242	0.53413	0.55429	-6.21754	2500	676	57	27
