number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
327	0.50013	0.00200	0.57632	0.64010	0.57632	0.53555	-8.93003	1776	1400	41	43
327	0.50028	0.00200	0.56822	0.61710	0.56822	0.55728	-8.91907	1725	1451	36	48
327	0.49931	0.01996	0.53110	0.63836	0.53110	0.53001	-9.18760	1703	1473	40	44
327	0.49939	0.00399	0.55124	0.61617	0.55124	0.52245	-8.87228	1844	1332	45	39
327	0.49886	0.00200	0.59552	0.64587	0.59552	0.58613	-9.13502	1757	1419	32	52
327	0.49939	0.06587	0.52245	0.63530	0.52245	0.50686	-8.99694	1745	1431	45	39
327	0.49962	0.00200	0.56485	0.62601	0.56485	0.54160	-9.14959	1701	1475	38	46
327	0.50166	0.00200	0.58237	0.63593	0.58237	0.57785	-8.90069	1780	1396	34	50
327	0.49925	0.00399	0.55653	0.61149	0.55653	0.52220	-9.04212	1729	1447	42	42
327	0.49846	0.00200	0.55508	0.62955	0.55508	0.54182	-8.93769	1778	1398	40	44
327	0.50079	0.00599	0.54377	0.63857	0.54377	0.52736	-9.08760	1724	1452	41	43
327	0.50056	0.00200	0.58046	0.62536	0.58046	0.53741	-8.81397	1750	1426	40	44
327	0.50002	0.00399	0.55250	0.64545	0.55250	0.51420	-9.13227	1716	1460	43	41
327	0.49869	0.00200	0.60432	0.62050	0.60432	0.55350	-9.02932	1701	1475	36	48
327	0.49999	0.32335	0.50741	0.60773	0.50741	0.51732	-8.94498	1698	1478	42	42
327	0.50059	0.00200	0.54530	0.61967	0.54530	0.50972	-8.88932	1801	1375	46	38
327	0.49892	0.00399	0.54314	0.62530	0.54314	0.50428	-9.27230	1653	1523	43	41
327	0.49938	0.00200	0.58106	0.63444	0.58106	0.54068	-9.04722	1733	1443	39	45
327	0.49910	0.00200	0.54748	0.61215	0.54748	0.51779	-9.02772	1701	1475	42	42
327	0.49965	0.09381	0.52045	0.62779	0.52045	0.50680	-9.36288	1669	1507	43	41
