number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
260	0.49994	0.03593	0.52992	0.62443	0.52992	0.51468	-9.49939	1530	1646	38	46
260	0.49948	0.78244	0.48702	0.60942	0.48702	0.47654	-9.22724	1628	1548	47	37
260	0.50079	0.68263	0.49259	0.64086	0.49259	0.49106	-9.81838	1569	1607	43	41
260	0.50002	0.22754	0.51100	0.62652	0.51100	0.49833	-9.29175	1653	1523	44	40
260	0.50109	0.89621	0.48089	0.64103	0.48089	0.47692	-9.73878	1517	1659	44	40
260	0.50097	0.45908	0.50268	0.61875	0.50268	0.50787	-9.38040	1638	1538	42	42
260	0.49878	0.00399	0.53837	0.61939	0.53837	0.49625	-9.36651	1602	1574	43	41
260	0.49941	0.04192	0.52746	0.63929	0.52746	0.52756	-9.73119	1574	1602	37	47
260	0.49970	0.38323	0.50460	0.61752	0.50460	0.49190	-9.37572	1650	1526	45	39
260	0.49967	0.68862	0.49092	0.63469	0.49092	0.51093	-9.59733	1544	1632	39	45
260	0.50100	0.91218	0.47876	0.61222	0.47876	0.48753	-9.39691	1660	1516	46	38
260	0.50005	0.02794	0.53415	0.63358	0.53415	0.53036	-9.54931	1554	1622	36	48
260	0.50038	0.00599	0.54452	0.60921	0.54452	0.54875	-9.19983	1633	1543	35	49
260	0.50107	0.20958	0.51473	0.62411	0.51473	0.51445	-9.35731	1642	1534	41	43
260	0.50042	0.29741	0.50861	0.62667	0.50861	0.50340	-9.56686	1534	1642	40	44
260	0.49982	0.14571	0.51668	0.61337	0.51668	0.51178	-9.23093	1625	1551	41	43
260	0.49895	0.15369	0.51562	0.60868	0.51562	0.52945	-9.34621	1586	1590	37	47
260	0.49965	0.01796	0.53360	0.62518	0.53360	0.53118	-9.49846	1597	1579	37	47
260	0.49934	0.51098	0.49810	0.63435	0.49810	0.49594	-9.64277	1600	1576	43	41
260	0.49888	0.38523	0.50367	0.61772	0.50367	0.51143	-9.50280	1585	1591	40	44
