number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
367	0.50040	0.00200	0.56398	0.64080	0.53932	0.51927	-11.36657	992	2184	23	61
367	0.49915	0.00200	0.55085	0.65947	0.54198	0.53205	-5.35298	2699	477	66	18
367	0.49878	0.54890	0.49738	0.66638	0.52370	0.52167	-9.98761	1461	1715	35	49
367	0.50020	0.00998	0.53765	0.65758	0.52994	0.50095	-7.29332	2199	977	58	26
367	0.50092	0.05190	0.52658	0.61943	0.50771	0.52016	-9.65422	1527	1649	37	47
367	0.49930	0.00200	0.54690	0.64839	0.55954	0.50909	-17.68035	209	2967	4	80
367	0.49874	0.00200	0.54489	0.65538	0.55564	0.54799	-11.88308	1061	2115	20	64
367	0.49994	0.00200	0.54045	0.63881	0.53221	0.53273	-7.51225	2174	1002	52	32
367	0.49953	0.01796	0.53532	0.65947	0.50484	0.48292	-11.29339	1177	1999	34	50
367	0.49972	0.03393	0.52892	0.64675	0.53149	0.49236	-4.51481	2825	351	76	8
367	0.50069	0.00200	0.54832	0.67704	0.53293	0.53005	-10.23386	1363	1813	31	53
367	0.49973	0.00200	0.55783	0.67883	0.56841	0.51741	-5.51453	2606	570	66	18
367	0.50163	0.07385	0.52539	0.64394	0.52776	0.50946	-7.86387	2064	1112	53	31
367	0.49973	0.29940	0.50960	0.65097	0.53935	0.54335	-5.25528	2733	443	65	19
367	0.49996	0.26148	0.51037	0.69674	0.49990	0.50319	-11.28402	1268	1908	33	51
367	0.49971	0.08982	0.52125	0.66323	0.52253	0.49515	-13.34681	801	2375	22	62
367	0.50008	0.00200	0.55206	0.65337	0.53235	0.53554	-11.12600	1171	2005	25	59
367	0.50142	0.00798	0.54809	0.65682	0.54543	0.51469	-4.31077	2929	247	75	9
367	0.50131	0.00200	0.55789	0.65599	0.57652	0.56327	-6.77208	2368	808	52	32
367	0.49987	0.00998	0.53937	0.65299	0.54212	0.54383	-8.35729	1942	1234	44	40
