number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
454	0.50007	0.72255	0.49114	0.60367	0.48119	0.46896	-8.42108	1958	1218	57	27
454	0.49838	0.00399	0.55621	0.61309	0.55111	0.54502	-9.88149	1269	1907	26	58
454	0.50103	0.00998	0.54128	0.61729	0.53564	0.51922	-7.87107	2126	1050	53	31
454	0.49952	0.02794	0.53110	0.61141	0.52691	0.50364	-9.89109	1233	1943	32	52
454	0.50194	0.06587	0.52520	0.61498	0.52381	0.51536	-8.67288	1799	1377	45	39
454	0.49930	0.09780	0.52036	0.62061	0.52042	0.50607	-8.84946	1740	1436	45	39
454	0.49959	0.00200	0.55184	0.61664	0.54473	0.53347	-6.66418	2519	657	61	23
454	0.49969	0.00599	0.55087	0.61113	0.53459	0.50452	-10.33710	1163	2013	30	54
454	0.50114	0.29741	0.51026	0.62726	0.50427	0.49471	-9.65624	1441	1735	39	45
454	0.49951	0.49701	0.49949	0.60953	0.50472	0.50390	-10.67614	970	2206	25	59
454	0.50066	0.03992	0.53163	0.61186	0.53971	0.52415	-9.23437	1628	1548	39	45
454	0.49986	0.05190	0.52635	0.63884	0.53296	0.53017	-7.21206	2309	867	56	28
454	0.49932	0.38124	0.50369	0.61483	0.51055	0.51037	-9.75002	1427	1749	36	48
454	0.49895	0.24152	0.51195	0.59827	0.50970	0.50271	-9.35270	1454	1722	38	46
454	0.50105	0.61277	0.49668	0.62213	0.48923	0.47947	-7.81742	2176	1000	61	23
454	0.50008	0.00200	0.54858	0.61877	0.54416	0.53237	-8.85028	1718	1458	40	44
454	0.50013	0.00399	0.54632	0.62751	0.55892	0.52571	-10.25243	1222	1954	28	56
454	0.50059	0.01996	0.53678	0.61773	0.53194	0.51641	-9.31845	1541	1635	38	46
454	0.50000	0.00599	0.54185	0.63717	0.53506	0.51480	-18.79683	94	3082	0	84
454	0.50019	0.02794	0.53361	0.61056	0.54201	0.51352	-5.45740	3035	141	78	6
