number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
6	0.49911	0.00399	0.54751	0.88452	0.54751	0.54784	-9.83373	1665	1511	36	48
6	0.49996	0.00200	0.56947	0.86069	0.56947	0.54242	-9.64501	1744	1432	39	45
6	0.49933	0.00998	0.53527	0.86739	0.53527	0.50828	-9.47512	1754	1422	45	39
6	0.49941	0.01397	0.53742	0.88110	0.53742	0.51816	-9.32177	1779	1397	44	40
6	0.50088	0.06587	0.52486	0.87905	0.52486	0.49650	-9.52568	1717	1459	46	38
6	0.49847	0.00200	0.56347	0.88014	0.56347	0.51017	-9.59249	1766	1410	45	39
6	0.50086	0.00200	0.54603	0.85820	0.54603	0.51391	-9.50729	1752	1424	44	40
6	0.50053	0.00200	0.54989	0.86732	0.54989	0.55167	-9.68208	1765	1411	38	46
6	0.50038	0.01597	0.54160	0.87405	0.54160	0.52645	-9.76741	1756	1420	42	42
6	0.49950	0.08782	0.52200	0.86966	0.52200	0.50714	-9.65452	1709	1467	44	40
6	0.50030	0.11178	0.52012	0.87909	0.52012	0.51496	-9.98236	1683	1493	42	42
6	0.50072	0.03194	0.53181	0.85541	0.53181	0.49288	-10.22491	1694	1482	46	38
6	0.49963	0.00200	0.55429	0.86205	0.55429	0.51691	-9.79169	1771	1405	44	40
6	0.50067	0.00200	0.56417	0.86127	0.56417	0.55136	-9.74795	1763	1413	38	46
6	0.50052	0.00200	0.54921	0.86067	0.54921	0.54910	-9.98391	1673	1503	36	48
6	0.50118	0.00200	0.56896	0.87519	0.56896	0.54871	-9.40484	1784	1392	39	45
6	0.50141	0.00399	0.55386	0.85560	0.55386	0.53127	-9.95281	1711	1465	40	44
6	0.49979	0.01198	0.53297	0.87566	0.53297	0.50305	-10.05344	1683	1493	44	40
6	0.49981	0.08184	0.52389	0.86281	0.52389	0.50982	-10.05464	1726	1450	44	40
6	0.50040	0.12375	0.51969	0.87316	0.51969	0.51231	-9.78735	1704	1472	43	41
