number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
15	0.50003	0.00200	0.55642	0.74094	0.55642	0.53980	-8.93274	1803	1373	41	43
15	0.50038	0.00200	0.56201	0.73080	0.56201	0.53407	-8.70537	1880	1296	44	40
15	0.50064	0.00200	0.57052	0.75263	0.57052	0.55057	-9.18286	1758	1418	38	46
15	0.50019	0.01597	0.53454	0.73575	0.53454	0.51177	-8.76511	1814	1362	46	38
15	0.49989	0.00399	0.54284	0.72428	0.54284	0.53297	-9.45706	1684	1492	39	45
15	0.50033	0.00200	0.57141	0.74159	0.57141	0.55105	-9.26918	1761	1415	38	46
15	0.50039	0.00200	0.57560	0.72636	0.57560	0.56997	-9.29638	1730	1446	34	50
15	0.49933	0.02994	0.53083	0.73245	0.53083	0.52207	-8.88452	1766	1410	43	41
15	0.50007	0.00399	0.56518	0.72736	0.56518	0.55278	-8.90787	1772	1404	38	46
15	0.50038	0.00200	0.56674	0.75062	0.56674	0.54090	-8.81501	1810	1366	41	43
15	0.50106	0.01198	0.53847	0.73493	0.53847	0.52330	-9.22204	1736	1440	42	42
15	0.50050	0.00399	0.54144	0.74013	0.54144	0.55284	-8.63999	1848	1328	40	44
15	0.50095	0.00200	0.54937	0.73291	0.54937	0.54890	-8.68115	1823	1353	40	44
15	0.49947	0.00200	0.58791	0.73045	0.58791	0.58005	-8.84730	1794	1382	34	50
15	0.50040	0.00200	0.56111	0.71374	0.56111	0.54103	-8.98116	1773	1403	40	44
15	0.50131	0.00200	0.57632	0.73705	0.57632	0.57491	-8.81301	1837	1339	36	48
15	0.49897	0.00200	0.57301	0.73459	0.57301	0.53041	-9.08176	1819	1357	43	41
15	0.50005	0.00599	0.54617	0.74121	0.54617	0.53114	-8.94105	1748	1428	41	43
15	0.49947	0.00200	0.54792	0.73649	0.54792	0.53149	-8.81746	1788	1388	42	42
15	0.50154	0.00200	0.56262	0.73809	0.56262	0.56112	-8.88701	1825	1351	38	46
