number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
344	0.50044	0.00200	0.56258	0.97988	0.56448	0.53410	-8.88145	1729	1447	40	44
344	0.50038	0.00200	0.57485	0.98499	0.58442	0.56339	-8.84506	1726	1450	35	49
344	0.49957	0.00200	0.57426	0.97388	0.58042	0.55388	-8.91670	1779	1397	38	46
344	0.50140	0.00200	0.58683	0.98025	0.58726	0.56263	-8.94553	1759	1417	36	48
344	0.49916	0.00200	0.57509	0.97893	0.57301	0.55398	-8.94068	1704	1472	36	48
344	0.50008	0.01597	0.54133	0.97933	0.54584	0.52781	-9.03880	1689	1487	40	44
344	0.49860	0.00200	0.57355	0.96497	0.56959	0.54688	-8.85333	1848	1328	41	43
344	0.49914	0.00200	0.58313	0.97704	0.59096	0.58421	-8.94778	1707	1469	31	53
344	0.49955	0.01397	0.53519	0.98461	0.55295	0.54154	-9.01798	1625	1551	36	48
344	0.49896	0.00200	0.55234	0.98625	0.55271	0.54339	-8.80074	1788	1388	40	44
344	0.49934	0.00998	0.53912	0.97072	0.54251	0.54613	-8.98958	1692	1484	37	47
344	0.50050	0.00798	0.54184	0.98470	0.53744	0.53835	-8.82390	1756	1420	40	44
344	0.49841	0.00200	0.57113	0.98753	0.56551	0.55977	-8.89392	1703	1473	35	49
344	0.49945	0.00798	0.53792	0.98675	0.53775	0.52875	-9.05571	1695	1481	40	44
344	0.49899	0.00200	0.56014	0.96820	0.55586	0.54859	-9.04313	1821	1355	40	44
344	0.50086	0.00200	0.58197	0.98662	0.58240	0.53171	-8.98231	1676	1500	39	45
344	0.49978	0.00200	0.57360	0.98151	0.58020	0.56286	-8.93662	1647	1529	33	51
344	0.49981	0.00399	0.54789	0.98772	0.55551	0.55590	-8.80905	1754	1422	37	47
344	0.49882	0.00399	0.54675	0.97303	0.54247	0.54730	-8.97422	1775	1401	39	45
344	0.49875	0.00200	0.55423	0.98213	0.55638	0.55259	-8.80838	1733	1443	37	47
