number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
493	0.49895	0.00200	0.57955	0.96069	0.59348	0.55356	-8.86619	1777	1399	38	46
493	0.50070	0.00200	0.57048	0.96964	0.55997	0.53814	-8.91193	1679	1497	38	46
493	0.50075	0.00200	0.57148	0.92342	0.56529	0.54585	-9.00110	1728	1448	38	46
493	0.49860	0.00200	0.57478	0.96286	0.57575	0.56122	-8.88386	1750	1426	36	48
493	0.50024	0.00200	0.57794	0.94585	0.57122	0.54226	-8.93679	1743	1433	39	45
493	0.50033	0.04192	0.53294	0.93020	0.52616	0.50809	-8.89755	1715	1461	44	40
493	0.50027	0.00399	0.55383	0.94027	0.55557	0.53826	-8.97400	1642	1534	37	47
493	0.50019	0.02794	0.53233	0.94520	0.53360	0.52598	-9.28947	1564	1612	37	47
493	0.49979	0.00200	0.57629	0.95849	0.59123	0.55404	-8.81684	1780	1396	38	46
493	0.50013	0.17764	0.51689	0.95227	0.51489	0.51014	-9.05002	1728	1448	44	40
493	0.49870	0.01996	0.53628	0.95342	0.54287	0.51788	-8.85115	1815	1361	45	39
493	0.49974	0.00200	0.55992	0.93379	0.55884	0.53471	-9.29741	1506	1670	34	50
493	0.50040	0.02595	0.53197	0.96022	0.53424	0.53281	-8.73352	1872	1304	44	40
493	0.49967	0.00200	0.56593	0.94427	0.56768	0.54491	-8.88293	1722	1454	38	46
493	0.50080	0.00399	0.54152	0.93945	0.53215	0.51810	-9.01671	1703	1473	42	42
493	0.49961	0.00200	0.59214	0.96034	0.59570	0.58144	-8.88312	1765	1411	33	51
493	0.50047	0.00200	0.55837	0.92803	0.56608	0.52103	-9.23037	1835	1341	45	39
493	0.49920	0.00200	0.55775	0.96666	0.55754	0.54774	-8.78581	1740	1436	38	46
493	0.49975	0.00599	0.54049	0.94524	0.53487	0.55007	-9.22539	1717	1459	37	47
493	0.49929	0.00399	0.55169	0.95188	0.55046	0.52503	-9.06565	1747	1429	42	42
