number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
78	0.49940	0.00200	0.57568	0.59636	0.57568	0.55860	-8.97069	1809	1367	38	46
78	0.49963	0.11776	0.51788	0.57736	0.51788	0.49760	-9.05247	1724	1452	46	38
78	0.49967	0.00200	0.55772	0.59266	0.55772	0.52211	-9.12555	1615	1561	39	45
78	0.50098	0.08782	0.52373	0.59595	0.52373	0.52504	-9.25549	1558	1618	37	47
78	0.49841	0.00200	0.58659	0.57717	0.58659	0.55762	-8.99475	1954	1222	42	42
78	0.49938	0.00200	0.57225	0.58655	0.57225	0.51679	-8.99363	1619	1557	40	44
78	0.50050	0.00399	0.54889	0.59068	0.54889	0.53330	-8.98464	2102	1074	50	34
78	0.49991	0.00200	0.58041	0.58564	0.58041	0.55518	-9.10121	2241	935	50	34
78	0.50041	0.00200	0.57686	0.57898	0.57686	0.55659	-9.03541	1834	1342	39	45
78	0.49960	0.00200	0.57969	0.58583	0.57969	0.54263	-8.82704	2010	1166	46	38
78	0.50010	0.00599	0.54681	0.56585	0.54681	0.54093	-8.90576	1848	1328	42	42
78	0.49955	0.01597	0.53510	0.57836	0.53510	0.50384	-8.86325	1688	1488	44	40
78	0.50067	0.00200	0.56018	0.57967	0.56018	0.54628	-8.82036	1882	1294	42	42
78	0.50163	0.00200	0.57692	0.59054	0.57692	0.54777	-9.11611	1778	1398	39	45
78	0.49996	0.00200	0.57683	0.57378	0.57683	0.54304	-8.96813	1937	1239	44	40
78	0.50036	0.00798	0.54113	0.59651	0.54113	0.53309	-9.18073	1836	1340	43	41
78	0.49958	0.00200	0.56841	0.59573	0.56841	0.54153	-9.04552	1814	1362	41	43
78	0.49952	0.00200	0.57179	0.56041	0.57179	0.54725	-8.82580	2115	1061	48	36
78	0.50014	0.00200	0.55766	0.58388	0.55766	0.53908	-8.82711	1685	1491	38	46
78	0.50036	0.00399	0.54353	0.56630	0.54353	0.52487	-8.81482	1746	1430	42	42
