number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
161	0.50065	1.00000	0.45665	0.57620	0.45665	0.49078	-2.04195	3004	172	81	3
161	0.50070	0.97605	0.47469	0.57639	0.47469	0.48780	-3.89225	2796	380	76	8
161	0.49981	0.99601	0.45802	0.59512	0.45802	0.48587	-2.48394	2935	241	80	4
161	0.49939	0.98403	0.46843	0.59192	0.46843	0.47328	-3.54888	2666	510	75	9
161	0.49990	0.97006	0.46976	0.60605	0.46976	0.46940	-3.44244	2906	270	82	2
161	0.49851	0.94411	0.47522	0.59406	0.47522	0.47727	-3.07488	2956	220	82	2
161	0.50014	0.99401	0.46233	0.60335	0.46233	0.47920	-3.13561	2817	359	78	6
161	0.49994	0.98603	0.47161	0.56500	0.47161	0.48939	-1.98550	3033	143	82	2
161	0.50084	0.99401	0.46345	0.59778	0.46345	0.46997	-2.72637	2834	342	80	4
161	0.50027	0.83433	0.48677	0.56867	0.48677	0.48212	-2.06468	2949	227	81	3
161	0.49960	0.98204	0.46969	0.57048	0.46969	0.49471	-2.39131	3029	147	81	3
161	0.50013	0.99401	0.46242	0.59828	0.46242	0.47645	-2.39901	2913	263	81	3
161	0.49952	0.87824	0.48373	0.57096	0.48373	0.47670	-2.96160	3028	148	84	0
161	0.49967	0.96208	0.47575	0.57779	0.47575	0.47604	-2.79749	2986	190	83	1
161	0.49965	0.99401	0.46701	0.57762	0.46701	0.48615	-2.37225	2899	277	79	5
161	0.49935	0.98204	0.46995	0.57396	0.46995	0.49576	-2.61493	2960	216	79	5
161	0.50051	0.92216	0.47902	0.54961	0.47902	0.47475	-2.26618	2940	236	82	2
161	0.50074	1.00000	0.46045	0.59241	0.46045	0.49714	-2.93900	2931	245	78	6
161	0.50037	1.00000	0.46182	0.58512	0.46182	0.48590	-3.18168	2973	203	81	3
161	0.49930	0.98603	0.46457	0.58016	0.46457	0.49374	-2.17539	2985	191	80	4
