number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
224	0.49973	0.00200	0.62045	0.57442	0.62045	0.53201	-2.30565	2850	326	70	14
224	0.49927	0.00200	0.56803	0.58900	0.56803	0.51844	-3.11264	2726	450	69	15
224	0.50047	0.00200	0.58922	0.58490	0.58922	0.52153	-3.52859	2670	506	67	17
224	0.49960	0.00200	0.57874	0.58368	0.57874	0.53062	-2.51290	2879	297	71	13
224	0.49972	0.00200	0.57680	0.59079	0.57680	0.50225	-2.52658	2850	326	75	9
224	0.50071	0.00200	0.61587	0.60490	0.61587	0.56241	-3.24852	2665	511	60	24
224	0.50014	0.00200	0.62666	0.59418	0.62666	0.57667	-2.46109	2869	307	63	21
224	0.50016	0.00200	0.57282	0.56985	0.57282	0.50338	-2.60626	2895	281	76	8
224	0.49961	0.00200	0.59278	0.58223	0.59278	0.52105	-2.48064	2856	320	72	12
224	0.50081	0.00200	0.60726	0.59506	0.60726	0.52269	-1.97475	2942	234	74	10
224	0.49968	0.00200	0.60982	0.58038	0.60982	0.53553	-2.60186	2948	228	72	12
224	0.49973	0.00200	0.60008	0.59068	0.60008	0.51966	-2.42834	2885	291	73	11
224	0.50054	0.00200	0.58738	0.58316	0.58738	0.51072	-2.47966	2866	310	74	10
224	0.49940	0.00200	0.58148	0.58179	0.58148	0.52549	-2.21914	2922	254	73	11
224	0.50069	0.00200	0.60654	0.60082	0.60654	0.55050	-2.60332	2854	322	67	17
224	0.49943	0.00200	0.59258	0.58913	0.59258	0.55167	-2.48015	2748	428	64	20
224	0.50015	0.00200	0.58093	0.56512	0.58093	0.51523	-2.75778	2819	357	72	12
224	0.49953	0.00200	0.59307	0.58494	0.59307	0.52899	-3.16103	2793	383	69	15
224	0.50070	0.00200	0.59651	0.58892	0.59651	0.54197	-3.08869	2762	414	66	18
224	0.50171	0.00200	0.59992	0.56693	0.59992	0.53532	-2.56275	2871	305	70	14
