number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
78	0.49851	0.00200	0.55166	0.58193	0.55166	0.52333	-8.86600	1774	1402	43	41
78	0.50080	0.00200	0.55650	0.56927	0.55650	0.53847	-8.83694	1908	1268	44	40
78	0.49997	0.00599	0.55224	0.59917	0.55224	0.54609	-8.98974	2032	1144	46	38
78	0.49869	0.00200	0.55037	0.54878	0.55037	0.53275	-8.76567	1796	1380	42	42
78	0.50078	0.00200	0.55604	0.57358	0.55604	0.54215	-8.80829	2007	1169	46	38
78	0.49983	0.00200	0.59554	0.59231	0.59554	0.55895	-8.94097	1660	1516	34	50
78	0.50031	0.00200	0.56469	0.57092	0.56469	0.55340	-8.81576	1965	1211	43	41
78	0.50006	0.00200	0.58715	0.57417	0.58715	0.59429	-8.89775	1771	1405	31	53
78	0.49921	0.00200	0.56158	0.57545	0.56158	0.54975	-8.87079	1904	1272	42	42
78	0.50111	0.00200	0.55960	0.58149	0.55960	0.53832	-8.81569	1907	1269	44	40
78	0.49945	0.00998	0.53611	0.57415	0.53611	0.54723	-8.85074	1888	1288	42	42
78	0.50040	0.00200	0.55980	0.58466	0.55980	0.55891	-8.87483	2000	1176	43	41
78	0.49952	0.00200	0.57535	0.58229	0.57535	0.54099	-8.81140	1924	1252	44	40
78	0.49914	0.00200	0.57128	0.57646	0.57128	0.56917	-8.82769	2103	1073	44	40
78	0.49858	0.00200	0.55637	0.59363	0.55637	0.53926	-8.91418	1913	1263	44	40
78	0.49999	0.00200	0.56377	0.58188	0.56377	0.58757	-8.88243	1993	1183	38	46
78	0.49877	0.00200	0.55511	0.61453	0.55511	0.57022	-9.08239	1845	1331	37	47
78	0.49929	0.00200	0.56857	0.59082	0.56857	0.54631	-8.83379	1920	1256	43	41
78	0.50062	0.00399	0.55035	0.59040	0.55035	0.54603	-8.88345	1956	1220	44	40
78	0.50015	0.00200	0.54892	0.58172	0.54892	0.54214	-8.95127	1591	1585	35	49
