number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
14	0.50002	0.03992	0.52716	0.56045	0.52716	0.51531	-8.75899	2328	848	59	25
14	0.49893	0.00399	0.54212	0.59367	0.54212	0.53863	-8.73830	1909	1267	44	40
14	0.50035	0.00599	0.54693	0.57351	0.54693	0.53635	-8.71124	2197	979	52	32
14	0.49911	0.00200	0.56209	0.59444	0.56209	0.52843	-8.78643	1882	1294	45	39
14	0.50098	0.00599	0.54537	0.57442	0.54537	0.54559	-8.66888	1991	1185	45	39
14	0.50097	0.00200	0.58005	0.59653	0.58005	0.55892	-8.89490	1622	1554	33	51
14	0.49945	0.00399	0.54339	0.57629	0.54339	0.54046	-8.86186	1845	1331	42	42
14	0.49904	0.00200	0.55195	0.59494	0.55195	0.56071	-8.74921	1898	1278	40	44
14	0.50006	0.05988	0.52641	0.55539	0.52641	0.52861	-8.71413	1921	1255	46	38
14	0.50032	0.00798	0.54499	0.58570	0.54499	0.54043	-8.70905	1807	1369	41	43
14	0.49965	0.00798	0.53853	0.58129	0.53853	0.53614	-8.69831	1931	1245	45	39
14	0.49939	0.00200	0.55560	0.59591	0.55560	0.55466	-8.73357	1973	1203	43	41
14	0.50034	0.00200	0.55853	0.57965	0.55853	0.55274	-8.73058	1923	1253	42	42
14	0.50167	0.02794	0.53454	0.60298	0.53454	0.54231	-8.78111	2008	1168	46	38
14	0.50043	0.00200	0.56138	0.59740	0.56138	0.56136	-8.77110	2129	1047	46	38
14	0.49911	0.00798	0.54358	0.60057	0.54358	0.55239	-8.84445	1883	1293	41	43
14	0.49950	0.00399	0.54057	0.59027	0.54057	0.53930	-8.87465	1762	1414	40	44
14	0.50046	0.02395	0.53571	0.57651	0.53571	0.53572	-8.69276	2193	983	52	32
14	0.50058	0.00200	0.56464	0.59483	0.56464	0.53003	-8.79263	1930	1246	46	38
14	0.50017	0.00200	0.55688	0.60388	0.55688	0.54711	-8.84638	1736	1440	38	46
