number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
434	0.49856	0.00200	0.55571	0.71214	0.57970	0.55164	-9.44274	1727	1449	37	47
434	0.49927	0.00399	0.53866	0.68025	0.52066	0.53329	-9.31811	1686	1490	39	45
434	0.49990	0.00200	0.57244	0.68454	0.55259	0.55135	-8.96385	1952	1224	43	41
434	0.50058	0.42116	0.50375	0.75729	0.50591	0.51104	-8.95220	1885	1291	48	36
434	0.49921	0.00200	0.57916	0.65572	0.57075	0.53303	-8.83427	1760	1416	41	43
434	0.49949	0.00200	0.56525	0.67231	0.55868	0.54733	-8.74337	1813	1363	40	44
434	0.49994	0.00200	0.59594	0.62566	0.58080	0.56380	-8.69123	1842	1334	38	46
434	0.49885	0.00200	0.57166	0.77118	0.54693	0.54645	-10.13355	1694	1482	37	47
434	0.49995	0.00200	0.55289	0.69834	0.57498	0.56449	-8.73935	1922	1254	40	44
434	0.49984	0.00200	0.59329	0.64266	0.58518	0.54159	-8.99407	1890	1286	43	41
434	0.49954	0.00200	0.56321	0.68924	0.56327	0.52885	-9.93977	1620	1556	38	46
434	0.50072	0.23752	0.51329	0.68228	0.53182	0.50706	-7.88851	2200	976	57	27
434	0.50125	0.04391	0.53101	0.67143	0.51622	0.48681	-9.55885	1542	1634	43	41
434	0.50086	0.01397	0.53517	0.68401	0.51879	0.51583	-9.20384	1802	1374	45	39
434	0.50082	0.00798	0.53871	0.71745	0.54589	0.52065	-8.93050	1757	1419	43	41
434	0.49911	0.00200	0.61177	0.65893	0.61018	0.58424	-9.34325	1745	1431	32	52
434	0.50036	0.21756	0.51288	0.73673	0.49140	0.50208	-10.70258	1450	1726	38	46
434	0.50091	0.21956	0.51360	0.68983	0.52824	0.51968	-9.25721	1713	1463	42	42
434	0.50044	0.00200	0.57064	0.73476	0.55862	0.54931	-9.73403	1750	1426	38	46
434	0.50003	0.00200	0.57314	0.65998	0.59680	0.55647	-9.23397	1682	1494	35	49
