number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
2	0.49887	0.05190	0.52623	0.49028	0.42474	0.50000	-7.79164	3176	0	84	0
2	0.50020	0.02595	0.53178	0.45644	0.52272	0.50000	-7.44684	3176	0	84	0
2	0.50014	0.17166	0.51631	0.48583	0.51053	0.50000	-9.56077	0	3176	0	84
2	0.50059	0.03792	0.52923	0.48212	0.56123	0.50000	-7.87639	3176	0	84	0
2	0.50004	0.00200	0.55833	0.49513	0.48463	0.50000	-7.75248	3176	0	84	0
2	0.49933	0.51697	0.49850	0.47939	0.48714	0.50000	-8.40333	3176	0	84	0
2	0.50077	0.06188	0.52601	0.47403	0.51293	0.50000	-10.57961	0	3176	0	84
2	0.50033	0.79641	0.48647	0.48044	0.49322	0.50000	-8.81322	3176	0	84	0
2	0.50068	0.00200	0.54813	0.50323	0.55930	0.50000	-7.65107	3176	0	84	0
2	0.50045	0.99800	0.45032	0.48737	0.46635	0.50000	-7.79405	3176	0	84	0
2	0.49932	0.37126	0.50455	0.53956	0.49111	0.50000	-7.71694	3176	0	84	0
2	0.50029	0.72655	0.49095	0.49961	0.54813	0.50000	-10.61700	0	3176	0	84
2	0.50054	0.16367	0.51718	0.50811	0.51892	0.50000	-7.78766	3176	0	84	0
2	0.50017	0.77844	0.48729	0.52438	0.50170	0.50000	-8.98377	0	3176	0	84
2	0.49964	0.43313	0.50144	0.52322	0.49235	0.50000	-7.58745	3176	0	84	0
2	0.49935	0.98802	0.46157	0.51190	0.49622	0.50000	-9.53458	0	3176	0	84
2	0.50100	0.97605	0.46868	0.49127	0.49190	0.50000	-8.22573	3176	0	84	0
2	0.50051	0.99202	0.45660	0.51207	0.54533	0.50000	-7.95820	3176	0	84	0
2	0.50006	0.08782	0.52329	0.52488	0.50235	0.50000	-10.58120	0	3176	0	84
2	0.50082	0.14371	0.51794	0.46321	0.53642	0.50000	-10.36395	0	3176	0	84
2	0.49877	0.00599	0.54409	0.50958	0.55753	0.50000	-7.72021	3176	0	84	0
2	0.50032	0.54291	0.49933	0.49329	0.53385	0.50000	-8.75691	3176	0	84	0
2	0.50061	0.98004	0.46945	0.44592	0.45073	0.50000	-10.06803	0	3176	0	84
2	0.50112	0.41317	0.50555	0.49862	0.48200	0.50000	-7.59596	3176	0	84	0
2	0.50002	0.32934	0.50729	0.46421	0.44358	0.50000	-10.50085	0	3176	0	84
2	0.49974	0.67066	0.49210	0.49386	0.50487	0.50000	-9.81492	0	3176	0	84
2	0.50113	0.65269	0.49429	0.45819	0.44331	0.50000	-7.57159	3176	0	84	0
2	0.49884	0.94411	0.47095	0.52657	0.55966	0.50000	-10.13035	0	3176	0	84
2	0.50006	0.63473	0.49423	0.50448	0.53146	0.50000	-7.78618	3176	0	84	0
2	0.49894	0.02994	0.52639	0.49480	0.47467	0.50000	-7.71410	3176	0	84	0
2	0.49852	0.19361	0.51140	0.50192	0.50537	0.50000	-10.59665	0	3176	0	84
2	0.50001	0.89820	0.47951	0.50164	0.47803	0.50000	-8.42385	3176	0	84	0
2	0.49966	0.00200	0.56384	0.51747	0.52401	0.50000	-7.86781	3176	0	84	0
2	0.50043	1.00000	0.43507	0.53538	0.51035	0.50000	-7.65658	3176	0	84	0
2	0.49966	0.99601	0.45888	0.50550	0.54637	0.50000	-9.56801	0	3176	0	84
2	0.50105	0.04591	0.52840	0.51047	0.52934	0.50000	-9.31194	0	3176	0	84
2	0.49877	0.05788	0.52454	0.51142	0.55787	0.50000	-10.65733	0	3176	0	84
2	0.49968	0.89222	0.48041	0.49693	0.50871	0.50000	-10.43987	0	3176	0	84
2	0.49980	0.98403	0.46440	0.51192	0.56742	0.50000	-8.06467	3176	0	84	0
2	0.49963	0.87226	0.48149	0.53420	0.51537	0.50000	-9.59934	0	3176	0	84
