number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
375	0.50003	0.00399	0.54629	0.66034	0.55649	0.51526	-10.14530	1269	1907	31	53
375	0.49964	0.00200	0.55481	0.69874	0.54207	0.54258	-8.34163	2350	826	55	29
375	0.50017	0.00200	0.58915	0.65183	0.60750	0.57932	-8.40760	1865	1311	36	48
375	0.49940	0.00200	0.58839	0.68380	0.57876	0.56564	-9.13923	2194	982	47	37
375	0.49921	0.00200	0.58229	0.65579	0.57989	0.53973	-10.89167	1311	1865	28	56
375	0.49981	0.00200	0.56444	0.66021	0.54879	0.55111	-8.77370	1837	1339	40	44
375	0.49949	0.00200	0.59638	0.70315	0.59382	0.57068	-8.70321	2226	950	47	37
375	0.49972	0.00200	0.57594	0.66731	0.59386	0.53481	-14.46043	448	2728	6	78
375	0.50100	0.00200	0.58164	0.60080	0.55747	0.53871	-10.51064	624	2552	10	74
375	0.49939	0.00200	0.58581	0.67189	0.58304	0.56768	-7.30088	2396	780	52	32
375	0.49999	0.00200	0.56801	0.67483	0.56925	0.56663	-10.31690	1860	1316	38	46
375	0.50089	0.00200	0.56356	0.67059	0.55133	0.53062	-8.01686	2085	1091	50	34
375	0.50042	0.00200	0.58995	0.61987	0.55715	0.54068	-10.14948	1128	2048	23	61
375	0.50059	0.00599	0.54418	0.68736	0.54991	0.54185	-6.29599	2610	566	62	22
375	0.49987	0.00200	0.59757	0.69104	0.58423	0.55769	-8.50468	1841	1335	39	45
375	0.50122	0.00200	0.58180	0.69549	0.55227	0.52256	-14.54414	597	2579	12	72
375	0.50073	0.00200	0.58836	0.61812	0.59701	0.54601	-11.10568	935	2241	17	67
375	0.49975	0.00200	0.57422	0.68699	0.57136	0.54631	-8.30521	2109	1067	48	36
375	0.50001	0.00200	0.56875	0.67642	0.56509	0.54760	-11.21447	1172	2004	23	61
375	0.50025	0.00200	0.61295	0.63779	0.61307	0.56775	-9.76853	1489	1687	28	56
