number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
400	0.49991	0.69860	0.49152	0.59199	0.49152	0.50952	-9.07302	1515	1662	38	45
400	0.49985	0.97804	0.46750	0.59570	0.46750	0.48964	-8.87639	1848	1329	50	33
400	0.49968	1.00000	0.45068	0.57851	0.45068	0.48541	-8.94004	1936	1241	53	30
400	0.49954	1.00000	0.44128	0.59074	0.44128	0.48233	-9.23063	1725	1452	48	35
400	0.49950	1.00000	0.43731	0.58818	0.43731	0.46873	-8.92005	1830	1347	53	30
400	0.49982	0.61078	0.49485	0.56832	0.49485	0.51264	-8.78523	2109	1068	53	30
400	0.50072	0.04591	0.52950	0.60130	0.52950	0.50918	-8.91311	2087	1090	53	30
400	0.49867	0.97804	0.46628	0.57023	0.46628	0.47431	-9.10820	1942	1235	55	28
400	0.50031	1.00000	0.44706	0.59298	0.44706	0.46591	-9.33441	1659	1518	49	34
400	0.50023	0.03393	0.52993	0.56029	0.52993	0.52692	-8.64324	2238	939	54	29
400	0.50064	0.95010	0.47393	0.57004	0.47393	0.48403	-9.14995	1621	1556	45	38
400	0.50073	0.99601	0.45357	0.58596	0.45357	0.49256	-8.57233	2479	698	66	17
400	0.49878	0.98403	0.46431	0.56426	0.46431	0.50088	-9.12031	1996	1181	52	31
400	0.49991	0.97605	0.46855	0.57849	0.46855	0.49148	-8.94895	1898	1279	51	32
400	0.49946	0.97405	0.46754	0.59699	0.46754	0.49958	-8.88268	2026	1151	53	30
400	0.49971	0.86427	0.48034	0.59504	0.48034	0.49256	-9.10538	1790	1387	48	35
400	0.49984	0.99401	0.46045	0.58565	0.46045	0.49738	-8.58390	2280	897	60	23
400	0.50001	0.72854	0.48983	0.58693	0.48983	0.50675	-8.83278	1995	1182	51	32
400	0.49920	0.37325	0.50436	0.57842	0.50436	0.50445	-9.30709	1368	1809	35	48
400	0.50022	1.00000	0.44803	0.58106	0.44803	0.48558	-9.19361	1516	1661	42	41
