number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
270	0.49966	0.73453	0.48945	0.56430	0.48268	0.49379	-9.01256	1662	1514	45	39
270	0.49984	0.99002	0.46329	0.57608	0.46115	0.46218	-8.96770	1499	1677	46	38
270	0.49980	0.86826	0.48108	0.57800	0.47623	0.48666	-8.97354	1352	1824	38	46
270	0.49918	0.74651	0.48842	0.59364	0.49555	0.49365	-9.05584	1283	1893	35	49
270	0.50020	0.92415	0.47774	0.55722	0.46748	0.48411	-8.98135	1298	1878	37	47
270	0.49964	0.70060	0.49092	0.56147	0.49121	0.47786	-8.93284	1523	1653	44	40
270	0.49987	0.72255	0.49073	0.57490	0.49329	0.50103	-8.88530	1708	1468	45	39
270	0.50167	0.93812	0.47958	0.57196	0.47789	0.47405	-8.98216	1650	1526	48	36
270	0.49940	0.84431	0.48231	0.55573	0.47590	0.49124	-8.88010	1797	1379	49	35
270	0.49923	0.17964	0.51404	0.56420	0.50749	0.50422	-8.91331	1577	1599	41	43
270	0.50027	0.54691	0.49832	0.55174	0.49008	0.50715	-8.98544	1520	1656	39	45
270	0.50065	0.25948	0.51094	0.56197	0.50298	0.50404	-8.79821	2143	1033	56	28
270	0.49840	0.70060	0.48942	0.57708	0.48935	0.51068	-8.95545	1429	1747	36	48
270	0.49945	0.95609	0.47440	0.56871	0.47535	0.49172	-8.95462	1611	1565	44	40
270	0.49987	0.63074	0.49514	0.57566	0.48996	0.51927	-8.92626	1597	1579	39	45
270	0.50048	1.00000	0.44559	0.58997	0.45262	0.45853	-9.10988	1438	1738	45	39
270	0.50117	0.82036	0.48513	0.57610	0.48716	0.50457	-8.93940	1617	1559	42	42
270	0.49932	0.56687	0.49559	0.55924	0.48782	0.49837	-8.86786	1313	1863	35	49
270	0.50093	0.81637	0.48604	0.58295	0.48755	0.48222	-9.01665	1286	1890	37	47
270	0.49792	0.77844	0.48499	0.55358	0.47992	0.48955	-8.92127	1446	1730	40	44
