number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
134	0.50073	0.54691	0.49891	0.49850	0.49732	0.49220	-9.07697	27	3150	2	81
134	0.50084	0.53693	0.50000	0.50000	0.50000	0.48171	-9.07581	190	2987	8	75
134	0.49956	0.00200	0.55504	0.50000	0.50000	0.49362	-9.07581	36	3141	2	81
134	0.49920	0.94411	0.47245	0.50000	0.50000	0.50016	-9.07581	1	3176	0	83
134	0.50048	0.00200	0.54472	0.56975	0.54472	0.47656	-9.33266	119	3058	7	76
134	0.50138	0.14172	0.52039	0.55500	0.55106	0.50331	-9.47740	21	3156	0	83
134	0.50066	0.08383	0.52419	0.50000	0.50000	0.49085	-9.07581	95	3082	4	79
134	0.50060	0.00200	0.55416	0.53331	0.55410	0.50063	-9.27191	4	3173	0	83
134	0.50073	0.01597	0.53634	0.50004	0.51828	0.48251	-9.07795	42	3135	4	79
134	0.50032	0.51497	0.50000	0.50000	0.50000	0.49447	-9.07581	118	3059	4	79
134	0.49999	0.11178	0.51828	0.51793	0.51828	0.48618	-9.33768	27	3150	3	80
134	0.49986	0.27146	0.50786	0.49851	0.49953	0.50016	-9.07601	1	3176	0	83
134	0.50079	0.98802	0.46552	0.53027	0.46552	0.48643	-9.53190	220	2957	8	75
134	0.50067	0.26747	0.51017	0.50000	0.50000	0.50346	-9.07581	22	3155	0	83
134	0.50026	0.51297	0.50000	0.54389	0.54105	0.48744	-9.42308	35	3142	3	80
134	0.50083	0.51098	0.49953	0.56334	0.49941	0.47377	-8.87754	63	3114	6	77
134	0.50068	0.00200	0.55194	0.54991	0.55194	0.49488	-9.46659	44	3133	2	81
134	0.49963	0.49900	0.50000	0.51737	0.53346	0.50016	-7.97006	1	3176	0	83
134	0.49930	0.00399	0.54603	0.53585	0.54603	0.48220	-8.34272	40	3137	4	79
134	0.49826	0.00599	0.54311	0.52176	0.54311	0.47948	-9.33441	61	3116	5	78
