number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
60	0.50170	0.09182	0.52522	0.50197	0.52522	0.50283	-7.92558	18	3158	0	84
60	0.49943	0.29541	0.50798	0.55365	0.50798	0.51370	-7.39098	87	3089	0	84
60	0.49919	0.43912	0.50250	0.52329	0.51678	0.51199	-8.60222	114	3062	1	83
60	0.50031	0.24950	0.51088	0.55387	0.51088	0.50299	-7.41199	19	3157	0	84
60	0.49907	0.18164	0.51323	0.51209	0.50121	0.51008	-9.01728	64	3112	0	84
60	0.49965	0.49102	0.50007	0.53693	0.49994	0.50913	-8.17163	58	3118	0	84
60	0.50096	0.28144	0.51042	0.55357	0.51033	0.50740	-7.73846	47	3129	0	84
60	0.50112	0.26946	0.51209	0.51551	0.51254	0.50567	-8.35296	36	3140	0	84
60	0.49947	0.65669	0.49191	0.52705	0.49139	0.51071	-8.79133	68	3108	0	84
60	0.49974	0.25150	0.51130	0.52079	0.51130	0.50362	-7.60593	23	3153	0	84
60	0.50163	0.37325	0.50708	0.55247	0.50735	0.50664	-8.00431	80	3096	1	83
60	0.49863	0.31537	0.50588	0.56573	0.50592	0.51008	-7.81966	64	3112	0	84
60	0.50091	0.33533	0.50743	0.52131	0.50759	0.51039	-8.10738	66	3110	0	84
60	0.49958	0.36926	0.50507	0.54035	0.50496	0.51936	-7.68942	123	3053	0	84
60	0.50052	0.28942	0.50996	0.52560	0.50806	0.50377	-8.93709	213	2963	5	79
60	0.49935	0.20958	0.51271	0.53927	0.51289	0.50724	-8.05148	46	3130	0	84
60	0.50034	0.15968	0.51596	0.54535	0.51589	0.50945	-7.75774	60	3116	0	84
60	0.50058	0.38922	0.50557	0.53819	0.50557	0.51275	-7.50030	81	3095	0	84
60	0.50021	0.27345	0.50954	0.53491	0.50954	0.50110	-8.09111	7	3169	0	84
60	0.50141	0.37924	0.50652	0.53894	0.50618	0.50724	-7.85561	46	3130	0	84
