number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
39	0.50063	0.00599	0.53611	0.55119	0.53611	0.49669	-6.76151	168	3008	5	79
39	0.50018	0.00599	0.54039	0.55035	0.54018	0.49968	-8.02605	187	2989	5	79
39	0.50030	0.01198	0.53853	0.55247	0.53858	0.49842	-7.75629	179	2997	5	79
39	0.49853	0.00798	0.54122	0.53479	0.53856	0.48306	-9.14769	573	2603	18	66
39	0.49966	0.02595	0.53050	0.54432	0.53059	0.49347	-8.21719	261	2915	8	76
39	0.49988	0.01996	0.53112	0.54021	0.53112	0.49338	-6.60892	147	3029	5	79
39	0.50038	0.01198	0.53902	0.54811	0.53908	0.49543	-5.65842	160	3016	5	79
39	0.49896	0.01198	0.53778	0.55939	0.53822	0.49567	-7.76402	275	2901	8	76
39	0.49992	0.01198	0.53667	0.54441	0.53479	0.49684	-8.00818	169	3007	5	79
39	0.49951	0.07385	0.52205	0.55731	0.54406	0.48562	-8.85656	438	2738	14	70
39	0.50031	0.00998	0.54211	0.56363	0.54187	0.48366	-8.83559	539	2637	17	67
39	0.50016	0.00200	0.60208	0.55453	0.60337	0.49301	-7.47256	69	3107	3	81
39	0.49982	0.03992	0.53215	0.54225	0.53251	0.47224	-8.44807	353	2823	14	70
39	0.49980	0.18962	0.51273	0.46901	0.50080	0.50733	-8.96063	160	3016	3	81
39	0.49999	0.23553	0.51290	0.54397	0.51283	0.49367	-7.81821	111	3065	4	80
39	0.50037	0.02595	0.53195	0.55873	0.53195	0.49262	-7.55019	180	2996	6	78
39	0.50016	0.00599	0.54252	0.53440	0.53930	0.48326	-9.03578	423	2753	14	70
39	0.49947	0.00599	0.54057	0.56424	0.54072	0.49454	-6.13118	230	2946	7	77
39	0.50013	0.02395	0.53519	0.55106	0.53533	0.49716	-7.16257	171	3005	5	79
39	0.49944	0.09980	0.52057	0.53711	0.52088	0.49650	-8.04681	129	3047	4	80
